Código UC;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de criação;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Área (ha);Área (ha) Amazônia;Área (ha) Caatinga;Área (ha) Cerrado;Área (ha) Mata Atlântica;Área (ha) Pampa;Área (ha) Pantanal;Área (ha) Área Marinha
0000.00.0001;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Federal;Área de Proteção Ambiental;Category V;SC;1992;Decreto 528 de 20/05/1992;-;Governador Celso Ramos (SC);Não;Sim;4.437;0;0;0;4.320;0;0;117
0000.00.0005;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO;Federal;Área de Proteção Ambiental;Category V;RJ;2002;Decreto S/N de 27/06/2002;-;Silva Jardim (RJ), Rio das Ostras (RJ), Rio Bonito (RJ), Casimiro de Abreu (RJ), Cachoeiras de Macacu (RJ), Cabo Frio (RJ), Araruama (RJ);Sim;Sim;150.374;0;0;0;150.341;0;0;32
0000.00.0006;ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA;Federal;Área de Proteção Ambiental;Category V;SC;2000;Decreto SN de 14/09/2000;-;Florianópolis (SC), Garopaba (SC), Içara (SC), Imbituba (SC), Jaguaruna (SC), Laguna (SC), Palhoça (SC), Paulo Lopes (SC), Tubarão (SC);Não;Sim;154.867;0;0;0;33.013;0;0;121.854
0000.00.0007;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Federal;Área de Proteção Ambiental;Category V;PB;1993;Decreto 924 de 10/09/1993;Revisão dos limites - Decreto S/N de 07/03/1998;Baía da Traição (PB), Lucena (PB), Marcação (PB), Rio Tinto (PB);Não;Sim;14.918;0;0;0;11.877;0;0;3.041
0000.00.0009;ÁREA DE PROTEÇÃO AMBIENTAL COSTA DOS CORAIS;Federal;Área de Proteção Ambiental;Category V;PE, AL;1997;Decreto S/N de 23/10/1997;-;Tamandaré (PE), Barra de Santo Antônio (AL), Japaratinga (AL), Maceió (AL), Maragogi (AL), Passo de Camaragibe (AL), Porto Calvo (AL), Porto de Pedras (AL), São Luís do Quitunde (AL), São Miguel dos Milagres (AL), Paripueira (AL), Rio Formoso (PE), São José da Coroa Grande (PE), Barreiros (PE);Não;Sim;404.288;0;0;0;9.961;0;0;394.328
0000.00.0010;ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS;Federal;Área de Proteção Ambiental;Category V;RJ;1982;Decreto 87561 de 13/09/1982;Revisão dos limites - Decreto 527 de 20/05/1992;Petrópolis (RJ), Magé (RJ), Guapimirim (RJ), Duque de Caxias (RJ);Sim;Sim;68.224;0;0;0;68.224;0;0;0
0000.00.0013;ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU;Federal;Área de Proteção Ambiental;Category V;RJ;1983;Decreto 89242 de 27/12/1983;-;Parati (RJ);Sim;Sim;32.611;0;0;0;31.366;0;0;1.245
0000.00.0014;ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE;Federal;Área de Proteção Ambiental;Category V;SP;1984;Decreto 90347 de 23/10/1984;Ampliação - Decreto 91892 de 06/11/1995;Ilha Comprida (SP), Peruíbe (SP), Miracatu (SP), Itariri (SP), Iguape (SP), Cananéia (SP);Não;Sim;202.308;0;0;0;202.018;0;0;290
0000.00.0015;ÁREA DE PROTEÇÃO AMBIENTAL DE FERNANDO DE NORONHA;Federal;Área de Proteção Ambiental;Category V;PE;1986;Decreto 92755 de 05/06/1986;-;Fernando de Noronha (PE);Sim;Sim;154.406;0;0;0;0;0;0;154.406
0000.00.0016;ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM;Federal;Área de Proteção Ambiental;Category V;RJ;1984;Decreto 90225 de 25/09/1984;-;Guapimirim (RJ), Itaboraí (RJ), Magé (RJ), São Gonçalo (RJ);Sim;Sim;13.890;0;0;0;8.692;0;0;5.198
