ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de Criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Órgão Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Bioma declarado;Grupo;Recortes (ha);Mar Territorial;Município Costeiro;Município Costeiro + Área Marinha;Programa/Projeto;Sítios do Patrimônio Mundial;Sítios Ramsar;Mosaico;Reserva da Biosfera;Biomas Abrangidos
1;0000.00.0001;;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Federal;Área de Proteção Ambiental;Category V;SC;1992;1992;Decreto 528 de 20/05/1992;;Governador Celso Ramos (SC);Não;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;4.437;1.887;3.000;;0;0;0;1.887;0;0;2.549;Marinho;US;;1;1;1;;;;;RB - Mata Atlântica;Mata Atlântica, Área Marinha
5;0000.00.0005;;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO;Federal;Área de Proteção Ambiental;Category V;RJ;2002;2002;Decreto S/N de 27/06/2002;;Silva Jardim (RJ), Rio das Ostras (RJ), Rio Bonito (RJ), Casimiro de Abreu (RJ), Cachoeiras de Macacu (RJ), Cabo Frio (RJ), Araruama (RJ);Sim;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;150.373;150.373;150700;;0;0;0;150.373;0;0;0;Mata Atlântica;US;;0;1;1;;;;Mosaico Mico-Leão-Dourado;RB - Mata Atlântica;Mata Atlântica
6;0000.00.0006;;ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA;Federal;Área de Proteção Ambiental;Category V;SC;2000;2000;Decreto SN de 14/09/2000;;Florianópolis (SC), Garopaba (SC), Içara (SC), Imbituba (SC), Jaguaruna (SC), Laguna (SC), Palhoça (SC), Paulo Lopes (SC), Tubarão (SC);Não;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;154.859;34.828;156100;;0;0;0;34.828;0;0;120.031;Marinho;US;;1;1;1;GEF Mar;;;;RB - Mata Atlântica;Mata Atlântica, Área Marinha
7;0000.00.0007;;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Federal;Área de Proteção Ambiental;Category V;PB;1993;1998;Decreto 924 de 10/09/1993;"Revisão dos limites - Decreto S/N de 07/03/1998;";Baía da Traição (PB), Lucena (PB), Marcação (PB), Rio Tinto (PB);Não;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;14.919;11.531;14640;;0;175;0;11.356;0;0;3.387;Mata Atlântica;US;;1;1;1;;;;;RB - Mata Atlântica;Caatinga, Mata Atlântica, Área Marinha
9;0000.00.0009;;ÁREA DE PROTEÇÃO AMBIENTAL COSTA DOS CORAIS;Federal;Área de Proteção Ambiental;Category V;PE, AL;1997;1997;Decreto s/n de 23/10/1997;;Tamandaré (PE), Barra de Santo Antônio (AL), Japaratinga (AL), Maceió (AL), Maragogi (AL), Passo de Camaragibe (AL), Porto Calvo (AL), Porto de Pedras (AL), São Luís do Quitunde (AL), São Miguel dos Milagres (AL), Paripueira (AL), Rio Formoso (PE), São José da Coroa Grande (PE), Barreiros (PE);Não;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;405.629;4.500;405946;;0;0;0;4.500;0;0;401.128;Marinho;US;;1;1;1;GEF Mar;;;;RB - Mata Atlântica;Mata Atlântica, Área Marinha
10;0000.00.0010;;ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS;Federal;Área de Proteção Ambiental;Category V;RJ;1982;1992;Decreto 87561 de 13/09/1982;"Revisão dos limites - Decreto 527 de 20/05/1992;";Petrópolis (RJ), Magé (RJ), Guapimirim (RJ), Duque de Caxias (RJ);Sim;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;68.224;68.224;0;;0;0;0;68.224;0;0;0;Mata Atlântica;US;;0;1;1;;;;Mosaico Mata Atlântica Central Fluminense;RB - Mata Atlântica;Mata Atlântica
13;0000.00.0013;;ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU;Federal;Área de Proteção Ambiental;Category V;RJ;1983;1983;Decreto 89242 de 27/12/1983;;Parati (RJ);Sim;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;32.611;31.922;32688;;0;0;0;31.922;0;0;689;Mata Atlântica;US;;1;1;1;;;;Mosaico Bocaina;RB - Mata Atlântica;Mata Atlântica, Área Marinha
14;0000.00.0014;;ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE;Federal;Área de Proteção Ambiental;Category V;SP;1984;1995;Decreto 90347 de 23/10/1984;"Ampliação - Decreto 91892 de 06/11/1995;";Ilha Comprida (SP), Peruíbe (SP), Miracatu (SP), Itariri (SP), Iguape (SP), Cananéia (SP);Não;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;202.308;201.853;196955;;0;0;0;201.853;0;0;455;Mata Atlântica;US;;1;1;1;GEF Mar;Reservas de Mata Atlântica do Sudeste (natural);;Mosaico do Litoral de São Paulo e Paraná (Lagamar);RB - Cinturão Verde da Cidade de São Paulo, RB - Mata Atlântica;Mata Atlântica, Área Marinha
15;0000.00.0015;;ÁREA DE PROTEÇÃO AMBIENTAL DE FERNANDO DE NORONHA;Federal;Área de Proteção Ambiental;Category V;PE;1986;1986;Decreto 92755 de 05/06/1986;;Fernando de Noronha (PE);Sim;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;154.358;787;154000;;0;0;0;787;0;0;153.571;Marinho;US;;1;1;1;GEF Mar;;;;RB - Mata Atlântica;Mata Atlântica, Área Marinha
16;0000.00.0016;;ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM;Federal;Área de Proteção Ambiental;Category V;RJ;1984;1984;Decreto 90225 de 25/09/1984;;Guapimirim (RJ), Itaboraí (RJ), Magé (RJ), São Gonçalo (RJ);Sim;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;13.890;8.969;13950;;0;0;0;8.969;0;0;4.921;Mata Atlântica;US;;1;1;1;;;;Mosaico Mata Atlântica Central Fluminense;RB - Mata Atlântica;Mata Atlântica, Área Marinha
