ID_UC,Código UC,Informações Gerais,Nome da UC,Esfera Administrativa,Categoria de Manejo,Categoria IUCN,UF,Ano de Criação,Ano do ato legal mais recente,Ato Legal de Criação,Outros atos legais,Municípios Abrangidos,Plano de Manejo,Conselho Gestor,Órgão Gestor,"Fonte da Área: (1 = SHP, 0 = Ato legal)",Área soma biomas,Área soma Biomas Continental,Área Ato Legal de Criação,Bioma Área (ha),Amazônia,Caatinga,Cerrado,Mata Atlântica,Pampa,Pantanal,Área Marinha,Bioma declarado,Grupo,PI,US,Recortes (ha),Mar Territorial,Município Costeiro,Município Costeiro + Área Marinha,Programa/Projeto,Sítios do Patrimônio Mundial,Sítios Ramsar,Mosaico,Reserva da Biosfera,Qualidade dos dados georreferenciados,Data da última certificação dos dados pelo Órgão Gestor
1,0000.00.0001,,ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM,Federal,Área de Proteção Ambiental,Category V,SC,1992,1992,Decreto 528 de 20/05/1992,Sem informação.,GOVERNADOR CELSO RAMOS (SC),Não,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,4436.58041,1869.586047,3000,,0,0,0,1869.586047,0,0,2566.994363,Área Marinha,Uso Sustentável,0,1,,1,1,1,,,,,RB - Mt Atlântica,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
5,0000.00.0005,,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO,Federal,Área de Proteção Ambiental,Category V,RJ,2002,2002,Decreto S/N de 27/06/2002,Sem informação.,ARARUAMA (RJ) - CABO FRIO (RJ) - CACHOEIRAS DE MACACU (RJ) - CASIMIRO DE ABREU (RJ) - RIO BONITO (RJ) - RIO DAS OSTRAS (RJ) - SILVA JARDIM (RJ),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,150374.538,150374.538,150700,,0,0,0,150374.538,0,0,0,Mata Atlântica,Uso Sustentável,0,1,,0,1,1,,,,Mosaico Mico-Leão-Dourado,RB - Mt Atlântica,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
6,0000.00.0006,,ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,Federal,Área de Proteção Ambiental,Category V,SC,2000,2000,Decreto SN de 14/09/2000,Sem informação.,FLORIANÓPOLIS (SC) - GAROPABA (SC) - IÇARA (SC) - IMBITUBA (SC) - JAGUARUNA (SC) - LAGUNA (SC) - PALHOÇA (SC) - PAULO LOPES (SC) - TUBARÃO (SC),Não,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,154859.3202,34864.62335,156100,,0,0,0,34864.62335,0,0,119994.6969,Área Marinha,Uso Sustentável,0,1,,1,1,1,GEF Mar,,,,RB - Mt Atlântica,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
7,0000.00.0007,,ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE,Federal,Área de Proteção Ambiental,Category V,PB,1998,1998,Decreto 924 de 10/09/1993,Revisão dos limites: Decreto S/N de 07/03/1998,BAÍA DA TRAIÇÃO (PB) - LUCENA (PB) - MARCAÇÃO (PB) - RIO TINTO (PB),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,14918.81024,11610.75616,14640,,0,187.7625645,0,11422.9936,0,0,3308.054074,Mata Atlântica,Uso Sustentável,0,1,,1,1,1,,,,,RB - Mt Atlântica,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
9,0000.00.0009,,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DOS CORAIS,Federal,Área de Proteção Ambiental,Category V,"AL, PE",1997,1997,Decreto s/n de 23/10/1997,Sem informação.,BARRA DE SANTO ANTÔNIO (AL) - BARREIROS (PE) - JAPARATINGA (AL) - MACEIÓ (AL) - MARAGOGI (AL) - PARIPUEIRA (AL) - PASSO DE CAMARAGIBE (AL) - PORTO CALVO (AL) - PORTO DE PEDRAS (AL) - RIO FORMOSO (PE) - SÃO JOSÉ DA COROA GRANDE (PE) - SÃO LUÍS DO QUITUNDE (AL) - SÃO MIGUEL DOS MILAGRES (AL) - TAMANDARÉ (PE),Não,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,405628.9935,4500.427753,405946,,0,0,0,4500.427753,0,0,401128.5657,Área Marinha,Uso Sustentável,0,1,,1,1,1,GEF Mar,,,,RB - Mt Atlântica,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
10,0000.00.0010,,ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS,Federal,Área de Proteção Ambiental,Category V,RJ,1982,1992,Decreto 87561 de 13/09/1982,Revisão dos limites: Decreto 527 de 20/05/1992,DUQUE DE CAXIAS (RJ) - GUAPIMIRIM (RJ) - MAGÉ (RJ) - PETRÓPOLIS (RJ),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,68224.28353,68224.28353,0,,0,0,0,68224.28353,0,0,0,Mata Atlântica,Uso Sustentável,0,1,,0,1,1,,,,Mosaico Mata Atlântica Central Fluminense,RB - Mt Atlântica,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
13,0000.00.0013,,ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU,Federal,Área de Proteção Ambiental,Category V,RJ,1983,1983,Decreto 89242 de 27/12/1983,Sem informação.,PARATY (RJ),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,32610.77938,31912.74243,32688,,0,0,0,31912.74243,0,0,698.0369539,Mata Atlântica,Uso Sustentável,0,1,,1,1,1,,Paraty e Ilha Grande: Cultura e Biodiversidade (misto),,Mosaico Bocaina,RB - Mt Atlântica,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
14,0000.00.0014,,ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE,Federal,Área de Proteção Ambiental,Category V,SP,1995,1995,Decreto 90347 de 23/10/1984,Ampliação: Decreto 91892 de 06/11/1995,CANANÉIA (SP) - IGUAPE (SP) - ILHA COMPRIDA (SP) - ITARIRI (SP) - MIRACATU (SP) - PERUÍBE (SP),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,202309.5577,201855.4219,196955,,0,0,0,201855.4219,0,0,454.1357848,Mata Atlântica,Uso Sustentável,0,1,,1,1,1,"GEF Mar, Projeto Mata Atlântica",Reservas de Mata Atlântica do Sudeste (natural),,Mosaico do Litoral de São Paulo e Paraná (Lagamar),"RB - Cinturão Verde da Cidade de São Paulo, RB - Mt Atlântica",Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
15,0000.00.0015,,ÁREA DE PROTEÇÃO AMBIENTAL DE FERNANDO DE NORONHA,Federal,Área de Proteção Ambiental,Category V,PE,1986,1986,Decreto 92755 de 05/06/1986,Sem informação.,FERNANDO DE NORONHA (PE),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,154357.9418,786.6936434,154000,,0,0,0,786.6936434,0,0,153571.2482,Área Marinha,Uso Sustentável,0,1,,1,1,1,GEF Mar,,,,RB - Mt Atlântica,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
16,0000.00.0016,,ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM,Federal,Área de Proteção Ambiental,Category V,RJ,1984,1984,Decreto 90225 de 25/09/1984,Sem informação.,GUAPIMIRIM (RJ) - ITABORAÍ (RJ) - MAGÉ (RJ) - SÃO GONÇALO (RJ),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,13890.14128,8908.118022,13950,,0,0,0,8908.118022,0,0,4982.023253,Mata Atlântica,Uso Sustentável,0,1,,1,1,1,,,,Mosaico Mata Atlântica Central Fluminense,RB - Mt Atlântica,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
