ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Órgão Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Bioma declarado;% Além da linha de costa;Grupo;PI;US;Recortes (ha);Lei da Mata Atlântica;Mar Territorial;Município Costeiro;Município Costeiro + Área Marinha;Amazônia Legal;Programa/Projeto;Sítios do Patrimônio Mundial;Sítios Ramsar;Mosaico;Reserva da Biosfera;Sobreposição com TI ou TQ;Biomas Abrangidos;Região;Presente na versão anterior;Diferença Área;Razão Diferença Área;Qualidade dos dados georreferenciados;Data da última certificação dos dados pelo Órgão Gestor
1;0000.00.0001;;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Federal;Área de Proteção Ambiental;Category V;SC;1992;Decreto 528 de 20/05/1992;Sem informação.;GOVERNADOR CELSO RAMOS (SC);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;4436,58041;1.870;3.000;;0;0;0;1.870;0;0;2.567;Área Marinha;0,578597507;Uso Sustentável;0;1;;;1;1;1;;;;;;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;segunda-feira, 30 de outubro de 2023
5;0000.00.0005;;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO-LEÃO-DOURADO;Federal;Área de Proteção Ambiental;Category V;RJ;2002;Decreto S/N de 27/06/2002;Sem informação.;ARARUAMA (RJ) - CABO FRIO (RJ) - CACHOEIRAS DE MACACU (RJ) - CASIMIRO DE ABREU (RJ) - RIO BONITO (RJ) - RIO DAS OSTRAS (RJ) - SILVA JARDIM (RJ);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;150374,538;150.375;150.700;;0;0;0;150.375;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;1;1;;;;;Mico-Leão-Dourado;RB - Mt Atlântica;;;;1;-5,29E-07;;Polígono corresponde ao memorial descritivo;segunda-feira, 24 de julho de 2023
6;0000.00.0006;;ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA;Federal;Área de Proteção Ambiental;Category V;SC;2000;Decreto SN de 14/09/2000;Sem informação.;FLORIANÓPOLIS (SC) - GAROPABA (SC) - IÇARA (SC) - IMBITUBA (SC) - JAGUARUNA (SC) - LAGUNA (SC) - PALHOÇA (SC) - PAULO LOPES (SC) - TUBARÃO (SC);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;154859,3202;34.865;156.100;;0;0;0;34.865;0;0;119.995;Área Marinha;0,774862609;Uso Sustentável;0;1;;;1;1;1;;GEF Mar-Áreas Marinhas e Costeiras Protegidas;;;;RB - Mt Atlântica;;;;1;1,46E-10;;Polígono corresponde ao memorial descritivo;quinta-feira, 27 de setembro de 2007
7;0000.00.0007;;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Federal;Área de Proteção Ambiental;Category V;PB;1998;Decreto 924 de 10/09/1993;Revisão dos limites: Decreto S/N de 07/03/1998;BAÍA DA TRAIÇÃO (PB) - LUCENA (PB) - MARCAÇÃO (PB) - RIO TINTO (PB);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;14918,81024;11.611;14.640;;0;188;0;11.423;0;0;3.308;Mata Atlântica;0,221737124;Uso Sustentável;0;1;;;1;1;1;;;;;;RB - Mt Atlântica;;;;1;4,73E-11;;Polígono corresponde ao memorial descritivo;segunda-feira, 12 de abril de 2010
9;0000.00.0009;;ÁREA DE PROTEÇÃO AMBIENTAL DA COSTA DOS CORAIS;Federal;Área de Proteção Ambiental;Category V;AL, PE;1997;Decreto S/N de 23/10/1997;Sem informação.;BARRA DE SANTO ANTÔNIO (AL) - BARREIROS (PE) - JAPARATINGA (AL) - MACEIÓ (AL) - MARAGOGI (AL) - PARIPUEIRA (AL) - PASSO DE CAMARAGIBE (AL) - PORTO CALVO (AL) - PORTO DE PEDRAS (AL) - SÃO JOSÉ DA COROA GRANDE (PE) - SÃO MIGUEL DOS MILAGRES (AL) - TAMANDARÉ (PE);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;405628,9935;4.500;413.563;;0;0;0;4.500;0;0;401.129;Área Marinha;0,988905064;Uso Sustentável;0;1;;;1;1;1;;GEF Mar-Áreas Marinhas e Costeiras Protegidas;;;;RB - Mt Atlântica;;;;1;-2,24E-06;;Polígono corresponde ao memorial descritivo;quarta-feira, 27 de dezembro de 2023
10;0000.00.0010;;ÁREA DE PROTEÇÃO AMBIENTAL DA REGIÃO SERRANA DE PETRÓPOLIS;Federal;Área de Proteção Ambiental;Category V;RJ;2022;Decreto 87561 de 13/07/1982;Revisão dos limites: Decreto 527 de 20/05/1992 - Revisão dos limites: Lei complementar 14.452 de 21/07/2022;DUQUE DE CAXIAS (RJ) - GUAPIMIRIM (RJ) - MAGÉ (RJ) - PETRÓPOLIS (RJ);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;58691,15741;58.691;68.224;;0;0;0;58.691;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;1;1;;;;;Mata Atlântica Central Fluminense;RB - Mt Atlântica;;;;1;-9533,126115;;Polígono corresponde ao memorial descritivo;quarta-feira, 11 de outubro de 2023
13;0000.00.0013;;ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU;Federal;Área de Proteção Ambiental;Category V;RJ;1983;Decreto 89242 de 27/12/1983;Sem informação.;PARATY (RJ);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;32610,77938;31.913;32.688;;0;0;0;31.913;0;0;698;Mata Atlântica;0,021405099;Uso Sustentável;0;1;;;1;1;1;;;Parati e Ilha Grande (Misto);;Bocaina;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;sexta-feira, 23 de abril de 2010
14;0000.00.0014;;ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE;Federal;Área de Proteção Ambiental;Category V;SP;1995;Decreto 90347 de 23/10/1984;Ampliação: Decreto 91892 de 06/11/1995;CANANÉIA (SP) - IGUAPE (SP) - ILHA COMPRIDA (SP) - ITARIRI (SP) - MIRACATU (SP) - PERUÍBE (SP);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;202309,5577;201.855;196.955;;0;0;0;201.855;0;0;454;Mata Atlântica;0,002244757;Uso Sustentável;0;1;;;1;1;1;;GEF Mar-Áreas Marinhas e Costeiras Protegidas;;APA Cananéia-Iguape-Peruíbe;Litoral de São Paulo;RB - Cinturão Verde da Cidade de São Paulo, RB - Mt Atlântica;;;;1;4,66E-10;;Polígono corresponde ao memorial descritivo;sexta-feira, 26 de março de 2010
15;0000.00.0015;;ÁREA DE PROTEÇÃO AMBIENTAL DE FERNANDO DE NORONHA;Federal;Área de Proteção Ambiental;Category V;PE;1986;Decreto 92755 de 05/06/1986;Sem informação.;FERNANDO DE NORONHA (PE);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;154357,9418;787;154.000;;0;0;0;787;0;0;153.571;Área Marinha;0,994903446;Uso Sustentável;0;1;;;1;1;1;;GEF Mar-Áreas Marinhas e Costeiras Protegidas;;;;RB - Mt Atlântica;;;;1;-3,78E-10;;Polígono corresponde ao memorial descritivo;quinta-feira, 27 de setembro de 2007
16;0000.00.0016;;ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM;Federal;Área de Proteção Ambiental;Category V;RJ;1984;Decreto 90225 de 25/09/1984;Sem informação.;GUAPIMIRIM (RJ) - ITABORAÍ (RJ) - MAGÉ (RJ) - SÃO GONÇALO (RJ);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;13890,14128;8.908;13.950;;0;0;0;8.908;0;0;4.982;Mata Atlântica;0,358673332;Uso Sustentável;0;1;;;1;1;1;;;;;;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;sexta-feira, 23 de abril de 2010
17;0000.00.0017;;ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA;Federal;Área de Proteção Ambiental;Category V;PR;1997;Decreto 90883 de 31/01/1985;Redução: Lei ordinária 9.513 Art 3 de 20/11/1997;ANTONINA (PR) - CAMPINA GRANDE DO SUL (PR) - GUARAQUEÇABA (PR) - PARANAGUÁ (PR);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;245640,9079;245.641;282.444;;0;0;0;245.641;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;1;1;;;;;Litoral de São Paulo;RB - Mt Atlântica;;;;1;-2,16E-06;;Polígono corresponde ao memorial descritivo;segunda-feira, 19 de junho de 2023
18;0000.00.0018;;ÁREA DE PROTEÇÃO AMBIENTAL DE PIAÇABUÇU;Federal;Área de Proteção Ambiental;Category V;AL;1983;Decreto 88421 de 21/06/1983;Sem informação.;FELIZ DESERTO (AL) - PIAÇABUÇU (AL);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;9107,105288;9.042;9.143;;0;0;0;9.042;0;0;65;Mata Atlântica;0,007120081;Uso Sustentável;0;1;;;1;1;1;;;;;;RB - Mt Atlântica;;;;1;1,82E-12;;Polígono corresponde ao memorial descritivo;quinta-feira, 27 de setembro de 2007
19;0000.00.0019;;ÁREA DE PROTEÇÃO AMBIENTAL DELTA DO PARNAIBA;Federal;Área de Proteção Ambiental;Category V;CE, MA, PI;1996;Decreto S/N de 28/08/1996;Sem informação.;ÁGUA DOCE DO MARANHÃO (MA) - ARAIOSES (MA) - BARROQUINHA (CE) - CAJUEIRO DA PRAIA (PI) - CHAVAL (CE) - ILHA GRANDE (PI) - LUÍS CORREIA (PI) - PARNAÍBA (PI) - PAULINO NEVES (MA) - TUTÓIA (MA);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;309589,6125;223.653;313.800;;0;85.634;138.019;0;0;0;85.936;Cerrado;0,277580833;Uso Sustentável;0;1;;;1;1;1;;GEF Mar-Áreas Marinhas e Costeiras Protegidas;;Estuário do Amazonas e seus Manguezais (Regional);;RB - Caatinga, RB - Mt Atlântica;;;;1;3,71E-06;;Polígono corresponde ao memorial descritivo;quarta-feira, 27 de abril de 2011
29;0000.00.0029;;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA;Federal;Área de Proteção Ambiental;Category V;CE, PI;1996;Decreto s/n de 26/11/1996;Sem informação.;BOM PRINCÍPIO DO PIAUÍ (PI) - BRASILEIRA (PI) - BURITI DOS LOPES (PI) - CHAVAL (CE) - COCAL (PI) - CONCEIÇÃO DO CANINDÉ (PI) - DOMINGOS MOURÃO (PI) - GRANJA (CE) - LAGOA DE SÃO FRANCISCO (PI) - MORAÚJO (CE) - PEDRO II (PI) - PIRACURUCA (PI) - PIRIPIRI (PI) - TIANGUÁ (CE) - VIÇOSA DO CEARÁ (CE);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;1628740,625;1.628.741;1.592.550;;0;985.735;643.006;0;0;0;0;Caatinga;0;Uso Sustentável;0;1;;;0;1;1;;GEF Terrestre-Estratégias de conservação, restauração e manejo para a biodiversidade da Caatinga, Pampa e Pantanal;;;;RB - Caatinga, RB - Mt Atlântica;;;;1;290,3127963;;Polígono corresponde ao memorial descritivo;quinta-feira, 28 de setembro de 2023
34;0000.00.0034;;MONUMENTO NATURAL DAS ILHAS CAGARRAS;Federal;Monumento Natural;Category III;RJ;2010;Resolução 11 de 14/09/1989;Recategorização: Decreto S/N.º de 13/04/2010;NITERÓI (RJ);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;91,19849516;63;0;;0;0;0;63;0;0;28;Mata Atlântica;0,306578105;Proteção Integral;1;0;;;1;1;1;;;;;Carioca;RB - Mt Atlântica;;;;1;0;;Polígono é uma estimativa dos limites da UC;segunda-feira, 23 de agosto de 2010
36;0000.00.0036;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHA AMEIXAL;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1985;Decreto 91.889 de 05/11/1985;Sem informação.;PERUÍBE (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;358,8910028;359;400;;0;0;0;359;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;1;1;;;;;Litoral de São Paulo;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;sexta-feira, 29 de dezembro de 2023
37;0000.00.0037;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1985;Decreto 91887 de 05/11/1985;Sem informação.;PERUÍBE (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;65,17496205;52,75622182;33;;0;0;0;52,75622182;0;0;12,41874023;Mata Atlântica;0,190544648;Uso Sustentável;0;1;;;1;1;1;;;;;Litoral de São Paulo;RB - Cinturão Verde da Cidade de São Paulo, RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;terça-feira, 18 de abril de 2023
39;0000.00.0039;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA MANGUEZAIS DA FOZ DO RIO MAMANGUAPE;Federal;Área de Relevante Interesse Ecológico;Category IV;PB;1985;Decreto 91.890 de 05/11/1985;Sem informação.;MARCAÇÃO (PB) - RIO TINTO (PB);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;5769,547699;5.768;5.721;;0;0;0;5.768;0;0;1;Mata Atlântica;0,000235645;Uso Sustentável;0;1;;;1;1;1;;;;;;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;terça-feira, 4 de dezembro de 2007
52;0000.00.0052;;ESTAÇÃO ECOLÓGICA DE CARIJÓS;Federal;Estação Ecológica;Category Ia;SC;1987;Decreto 94.656 de 20/07/1987;Sem informação.;FLORIANÓPOLIS (SC);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;664,4425475;646;718;;0;0;0;646;0;0;19;Mata Atlântica;0,028318042;Proteção Integral;1;0;;;1;1;1;;;;;;RB - Mt Atlântica;;;;1;-94,90152531;;Polígono corresponde ao memorial descritivo;segunda-feira, 11 de dezembro de 2023
54;0000.00.0054;;ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA;Federal;Estação Ecológica;Category Ia;PR;1997;Decreto 87.222 de 31/05/1982;Ampliação: Decreto 93.053 de 31/07/1986 - Revisão dos limites: Lei ordinária 9.513 de 20/11/1997;GUARAQUEÇABA (PR);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;4370,144871;4.357;13.639;;0;0;0;4.357;0;0;13;Mata Atlântica;0,00291716;Proteção Integral;1;0;;;1;1;1;;;Reservas do Sudeste da Mata Atlântica;ESEC Guaraqueçaba;;RB - Mt Atlântica;;;;1;0;;Polígono é uma estimativa dos limites da UC;quarta-feira, 21 de junho de 2023
58;0000.00.0058;;ESTAÇÃO ECOLÓGICA DE MARACÁ JIPIOCA;Federal;Estação Ecológica;Category Ia;AP;1981;Decreto 86061 de 02/06/1981;Sem informação.;AMAPÁ (AP);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;58756,95919;54.788;72.000;;54788,37768;0;0;0;0;0;3.969;Amazônia;0,067542323;Proteção Integral;1;0;;;1;1;1;;Programa ARPA;;Estuário do Amazonas e seus Manguezais (Regional);;;;;;1;0;;Polígono corresponde ao memorial descritivo;terça-feira, 16 de fevereiro de 2016
59;0000.00.0059;;ESTAÇÃO ECOLÓGICA DE MURICI;Federal;Estação Ecológica;Category Ia;AL;2001;Decreto S/N de 28/05/2001;Sem informação.;FLEXEIRAS (AL) - MESSIAS (AL) - MURICI (AL);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;6131,593269;6.132;6.116;;0;0;0;6.132;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;;0;1;1;;;;;;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;quinta-feira, 27 de setembro de 2007
63;0000.00.0063;;ESTAÇÃO ECOLÓGICA DE TAMOIOS;Federal;Estação Ecológica;Category Ia;RJ;1990;Decreto 98864 de 23/01/1990;Sem informação.;ANGRA DOS REIS (RJ) - PARATY (RJ);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;8660,360247;287;700;;0;0;0;287;0;0;8.373;Área Marinha;0,96684111;Proteção Integral;1;0;;;1;1;1;;;;;Bocaina;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;quarta-feira, 25 de julho de 2012
64;0000.00.0064;;ESTAÇÃO ECOLÓGICA TUPINAMBÁS;Federal;Estação Ecológica;Category Ia;SP;1987;Decreto 94656 de 20/07/1987;Sem informação.;SÃO SEBASTIÃO (SP) - UBATUBA (SP);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;2463,607353;23,16319193;27,82;;0;0;0;23,16319193;0;0;2440,444161;Área Marinha;0,990597856;Proteção Integral;1;0;;;1;1;1;;;;;;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;quarta-feira, 13 de dezembro de 2017
