Código UC,Nome da UC,Municípios Abrangidos
0000.00.0001,ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM,GOVERNADOR CELSO RAMOS (SC)
0000.00.0005,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO-LEÃO-DOURADO,ARARUAMA (RJ) - CABO FRIO (RJ) - CACHOEIRAS DE MACACU (RJ) - CASIMIRO DE ABREU (RJ) - RIO BONITO (RJ) - RIO DAS OSTRAS (RJ) - SILVA JARDIM (RJ)
0000.00.0006,ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,FLORIANÓPOLIS (SC) - GAROPABA (SC) - IÇARA (SC) - IMBITUBA (SC) - JAGUARUNA (SC) - LAGUNA (SC) - PALHOÇA (SC) - PAULO LOPES (SC) - TUBARÃO (SC)
0000.00.0007,ÁREA DE PROTEÇÃO AMBIENTAL DA BARRA DO RIO MAMANGUAPE,BAÍA DA TRAIÇÃO (PB) - LUCENA (PB) - MARCAÇÃO (PB) - RIO TINTO (PB)
0000.00.0009,ÁREA DE PROTEÇÃO AMBIENTAL DA COSTA DOS CORAIS,BARRA DE SANTO ANTÔNIO (AL) - BARREIROS (PE) - JAPARATINGA (AL) - MACEIÓ (AL) - MARAGOGI (AL) - PARIPUEIRA (AL) - PASSO DE CAMARAGIBE (AL) - PORTO CALVO (AL) - PORTO DE PEDRAS (AL) - SÃO JOSÉ DA COROA GRANDE (PE) - SÃO MIGUEL DOS MILAGRES (AL) - TAMANDARÉ (PE)
0000.00.0010,ÁREA DE PROTEÇÃO AMBIENTAL DA REGIÃO SERRANA DE PETRÓPOLIS,DUQUE DE CAXIAS (RJ) - GUAPIMIRIM (RJ) - MAGÉ (RJ) - PETRÓPOLIS (RJ)
0000.00.0013,ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU,PARATY (RJ)
0000.00.0014,ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE,CANANÉIA (SP) - IGUAPE (SP) - ILHA COMPRIDA (SP) - ITARIRI (SP) - MIRACATU (SP) - PERUÍBE (SP)
0000.00.0015,ÁREA DE PROTEÇÃO AMBIENTAL DE FERNANDO DE NORONHA - ROCAS - SÃO PEDRO E SÃO PAULO,FERNANDO DE NORONHA (PE)
0000.00.0016,ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM,GUAPIMIRIM (RJ) - ITABORAÍ (RJ) - MAGÉ (RJ) - SÃO GONÇALO (RJ)
0000.00.0017,ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA,ANTONINA (PR) - CAMPINA GRANDE DO SUL (PR) - GUARAQUEÇABA (PR) - PARANAGUÁ (PR)
0000.00.0018,ÁREA DE PROTEÇÃO AMBIENTAL DE PIAÇABUÇU,FELIZ DESERTO (AL) - PIAÇABUÇU (AL)
0000.00.0019,ÁREA DE PROTEÇÃO AMBIENTAL DELTA DO PARNAIBA,ÁGUA DOCE DO MARANHÃO (MA) - ARAIOSES (MA) - BARROQUINHA (CE) - CAJUEIRO DA PRAIA (PI) - CHAVAL (CE) - ILHA GRANDE (PI) - LUÍS CORREIA (PI) - PARNAÍBA (PI) - PAULINO NEVES (MA) - TUTÓIA (MA)
0000.00.0029,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA,BOM PRINCÍPIO DO PIAUÍ (PI) - BRASILEIRA (PI) - BURITI DOS LOPES (PI) - CHAVAL (CE) - COCAL (PI) - CONCEIÇÃO DO CANINDÉ (PI) - DOMINGOS MOURÃO (PI) - GRANJA (CE) - LAGOA DE SÃO FRANCISCO (PI) - MORAÚJO (CE) - PEDRO II (PI) - PIRACURUCA (PI) - PIRIPIRI (PI) - TIANGUÁ (CE) - VIÇOSA DO CEARÁ (CE)
0000.00.0034,MONUMENTO NATURAL DAS ILHAS CAGARRAS,NITERÓI (RJ)
0000.00.0036,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHA AMEIXAL,PERUÍBE (SP)
0000.00.0037,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA,PERUÍBE (SP)
0000.00.0039,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MANGUEZAIS DA FOZ DO RIO MAMANGUAPE,MARCAÇÃO (PB) - RIO TINTO (PB)
0000.00.0052,ESTAÇÃO ECOLÓGICA DE CARIJÓS,FLORIANÓPOLIS (SC)
0000.00.0054,ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA,GUARAQUEÇABA (PR)
0000.00.0058,ESTAÇÃO ECOLÓGICA DE MARACÁ JIPIOCA,AMAPÁ (AP)
0000.00.0059,ESTAÇÃO ECOLÓGICA DE MURICI,FLEXEIRAS (AL) - MESSIAS (AL) - MURICI (AL)
0000.00.0063,ESTAÇÃO ECOLÓGICA DE TAMOIOS,ANGRA DOS REIS (RJ) - PARATY (RJ)
