Código UC;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de criação;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Área (ha);Área (ha) Amazônia;Área (ha) Caatinga;Área (ha) Cerrado;Área (ha) Mata Atlântica;Área (ha) Pampa;Área (ha) Pantanal;Área (ha) Área Marinha
0000.00.0001;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Federal;Área de Proteção Ambiental;Category V;SC;1992;Decreto 528 de 20/05/1992;-;Governador Celso Ramos (SC);Não;Sim;4.437;0;0;0;4.320;0;0;117
0000.00.0002;ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU;Federal;Área de Proteção Ambiental;Category V;MG;1989;Decreto 98182 de 26/09/1989;-;Bonito de Minas (MG), Cônego Marinho (MG), Itacarambi (MG), JANUARIA (MG);Não;Sim;143.354;0;4.614;138.741;0;0;0;0
0000.00.0003;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DESCOBERTO;Federal;Área de Proteção Ambiental;Category V;DF, GO;1983;Decreto 88940 de 07/11/1983;-;Brasília (DF), Padre Bernardo (GO), Águas Lindas de Goiás (GO);Não;Não;41.784;0;0;41.784;0;0;0;0
0000.00.0004;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU;Federal;Área de Proteção Ambiental;Category V;DF;1983;Decreto 88940 de 07/11/1983;-;Brasília (DF);Não;Não;82.680;0;0;82.680;0;0;0;0
0000.00.0005;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO;Federal;Área de Proteção Ambiental;Category V;RJ;2002;Decreto S/N de 27/06/2002;-;Silva Jardim (RJ), Rio das Ostras (RJ), Rio Bonito (RJ), Casimiro de Abreu (RJ), Cachoeiras de Macacu (RJ), Cabo Frio (RJ), Araruama (RJ);Sim;Sim;150.374;0;0;0;150.341;0;0;32
0000.00.0006;ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA;Federal;Área de Proteção Ambiental;Category V;SC;2000;Decreto SN de 14/09/2000;-;Florianópolis (SC), Garopaba (SC), Içara (SC), Imbituba (SC), Jaguaruna (SC), Laguna (SC), Palhoça (SC), Paulo Lopes (SC), Tubarão (SC);Não;Sim;154.867;0;0;0;33.013;0;0;121.854
0000.00.0007;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Federal;Área de Proteção Ambiental;Category V;PB;1993;Decreto 924 de 10/09/1993;Revisão dos limites - Decreto S/N de 07/03/1998;Baía da Traição (PB), Lucena (PB), Marcação (PB), Rio Tinto (PB);Não;Sim;14.918;0;0;0;11.877;0;0;3.041
0000.00.0008;ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE;Federal;Área de Proteção Ambiental;Category V;CE, PE, PI;1997;Decreto SN de 04/08/1997;-;Abaiara (CE), Araripe (CE), Barbalha (CE), Brejo Santo (CE), Campos Sales (CE), Crato (CE), Jardim (CE), Jati (CE), Missão Velha (CE), Nova Olinda (CE), Penaforte (CE), Porteiras (CE), Potengi (CE), Salitre (CE), Santana do Cariri (CE), Araripina (PE), Bodocó (PE), Cedro (PE), Exu (PE), Ipubi (PE), Serrita (PE), Moreilândia (PE), Trindade (PE), Fronteiras (PI), Padre Marcos (PI), São Julião (PI), Simões (PI), Caldeirão Grande do Piauí (PI), Alegrete do Piauí (PI), Marcolândia (PI), Caridade do Piauí (PI), Curral Novo do Piauí (PI), Francisco Macedo (PI);Não;Sim;972.593;0;972.593;0;0;0;0;0
0000.00.0009;ÁREA DE PROTEÇÃO AMBIENTAL COSTA DOS CORAIS;Federal;Área de Proteção Ambiental;Category V;PE, AL;1997;Decreto S/N de 23/10/1997;-;Tamandaré (PE), Barra de Santo Antônio (AL), Japaratinga (AL), Maceió (AL), Maragogi (AL), Passo de Camaragibe (AL), Porto Calvo (AL), Porto de Pedras (AL), São Luís do Quitunde (AL), São Miguel dos Milagres (AL), Paripueira (AL), Rio Formoso (PE), São José da Coroa Grande (PE), Barreiros (PE);Não;Sim;404.288;0;0;0;9.961;0;0;394.328
0000.00.0010;ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS;Federal;Área de Proteção Ambiental;Category V;RJ;1982;Decreto 87561 de 13/09/1982;Revisão dos limites - Decreto 527 de 20/05/1992;Petrópolis (RJ), Magé (RJ), Guapimirim (RJ), Duque de Caxias (RJ);Sim;Sim;68.224;0;0;0;68.224;0;0;0
0000.00.0011;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA;Federal;Área de Proteção Ambiental;Category V;MG, RJ, SP;1985;Decreto 91304 de 03/06/1985;-;Aiuruoca (MG), Alagoa (MG), Bocaina de Minas (MG), Baependi (MG), Delfim Moreira (MG), Itamonte (MG), Itanhandu (MG), Liberdade (MG), Marmelópolis (MG), Passa Quatro (MG), Passa Vinte (MG), Piranguçu (MG), Pouso Alto (MG), Virgínia (MG), Wenceslau Braz (MG), Itatiaia (RJ), Resende (RJ), Campos do Jordão (SP), Cruzeiro (SP), Guaratinguetá (SP), Lorena (SP), Lavrinhas (SP), Pindamonhangaba (SP), Piquete (SP), Queluz (SP), Santo Antônio do Pinhal (SP), São Bento do Sapucaí (SP);Não;Sim;437.520;0;0;0;437.520;0;0;0
0000.00.0012;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA TABATINGA;Federal;Área de Proteção Ambiental;Category V;TO;1990;Decreto 99278 de 06/06/1990;Redução - Decreto S/N de 16/07/2002;Mateiros (TO);Não;Não;41.780;0;0;41.780;0;0;0;0
0000.00.0013;ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU;Federal;Área de Proteção Ambiental;Category V;RJ;1983;Decreto 89242 de 27/12/1983;-;Parati (RJ);Sim;Sim;32.611;0;0;0;31.366;0;0;1.245
0000.00.0014;ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE;Federal;Área de Proteção Ambiental;Category V;SP;1984;Decreto 90347 de 23/10/1984;Ampliação - Decreto 91892 de 06/11/1995;Ilha Comprida (SP), Peruíbe (SP), Miracatu (SP), Itariri (SP), Iguape (SP), Cananéia (SP);Não;Sim;202.308;0;0;0;202.018;0;0;290
0000.00.0015;ÁREA DE PROTEÇÃO AMBIENTAL DE FERNANDO DE NORONHA;Federal;Área de Proteção Ambiental;Category V;PE;1986;Decreto 92755 de 05/06/1986;-;Fernando de Noronha (PE);Sim;Sim;154.406;0;0;0;0;0;0;154.406
0000.00.0016;ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM;Federal;Área de Proteção Ambiental;Category V;RJ;1984;Decreto 90225 de 25/09/1984;-;Guapimirim (RJ), Itaboraí (RJ), Magé (RJ), São Gonçalo (RJ);Sim;Sim;13.890;0;0;0;8.692;0;0;5.198
0000.00.0017;ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA;Federal;Área de Proteção Ambiental;Category V;PR;1985;Decreto 90883 de 31/01/1985;Redução - Lei ordinária 9513 de 20/11/1997;Antonina (PR), Campina Grande do Sul (PR), Guaraqueçaba (PR), Paranaguá (PR);Sim;Sim;282.444;0;0;0;281.815;0;0;629
0000.00.0018;ÁREA DE PROTEÇÃO AMBIENTAL DE PIAÇABUÇU;Federal;Área de Proteção Ambiental;Category V;AL;1983;Decreto 88421 de 21/06/1983;-;Feliz Deserto (AL), Piaçabuçu (AL);Não;Sim;9.107;0;0;0;9.091;0;0;15
0000.00.0019;ÁREA DE PROTEÇÃO AMBIENTAL DELTA DO PARNAIBA;Federal;Área de Proteção Ambiental;Category V;PI, MA, CE;1996;Decreto S/N de 28/08/1996;-;Ilha Grande (PI), Paulino Neves (MA), Tutóia (MA), Água Doce do Maranhão (MA), Araioses (MA), Chaval (CE), Barroquinha (CE), Luís Correia (PI), Parnaíba (PI), Cajueiro da Praia (PI);Não;Sim;309.586;0;66.746;160.118;0;0;0;82.722
0000.00.0020;ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DA LAGOA SANTA;Federal;Área de Proteção Ambiental;Category V;MG;1990;Decreto 98881 de 25/01/1990;Revisão dos limites - Decreto 1876 de 25/04/1996;Confins (MG), Lagoa Santa (MG), Matozinhos (MG), Funilândia (MG), Pedro Leopoldo (MG), Prudente de Morais (MG);Não;Sim;37.736;0;0;37.736;0;0;0;0
0000.00.0021;ÁREA DE PROTEÇÃO AMBIENTAL IBIRAPUITÃ;Federal;Área de Proteção Ambiental;Category V;RS;1992;Decreto 529 de 20/05/1992;-;Alegrete (RS), Quaraí (RS), Rosário do Sul (RS), Santana do Livramento (RS);Não;Sim;316.500;0;0;0;0;316.500;0;0
0000.00.0022;ÁREA DE PROTEÇÃO AMBIENTAL DO IGARAPÉ GELADO;Federal;Área de Proteção Ambiental;Category V;PA;1989;Decreto 97718 de 05/05/1989;-;Parauapebas (PA);Não;Não;23.285;23.285;0;0;0;0;0;0
0000.00.0023;ÁREA DE PROTEÇÃO AMBIENTAL DO PLANALTO CENTRAL;Federal;Área de Proteção Ambiental;Category V;DF, GO;2002;Decreto S/N de 10/01/2002;-;Brasília (DF), Padre Bernardo (GO), Planaltina (GO);Não;Sim;503.418;0;0;503.418;0;0;0;0
0000.00.0024;ÁREA DE PROTEÇÃO AMBIENTAL MEANDROS DO ARAGUAIA;Federal;Área de Proteção Ambiental;Category V;GO, MT, TO;1998;Decreto S/N de 02/10/1998;-;Nova Crixás (GO), São Miguel do Araguaia (GO), Cocalinho (MT), Novo Santo Antonio (MT), Formoso do Araguaia (TO), Sandolândia (TO);Não;Sim;359.190;0;0;359.190;0;0;0;0
0000.00.0025;ÁREA DE PROTEÇÃO AMBIENTAL ILHAS E VÁRZEAS DO RIO PARANÁ;Federal;Área de Proteção Ambiental;Category V;MS, PR, SP;1997;Decreto S/N de 30/09/1997;-;Bataiporã (MS), Eldorado (MS), Iguatemi (MS), Itaquiraí (MS), Ivinhema (MS), Japorã (MS), Jateí (MS), Mundo Novo (MS), Naviraí (MS), Nova Andradina (MS), Novo Horizonte do Sul (MS), Taquarussu (MS), Altânia (PR), Diamante do Norte (PR), Guaíra (PR), Icaraíma (PR), Ivaté (PR), Marilena (PR), Nova Londrina (PR), Porto Rico (PR), Querência do Norte (PR), Santa Cruz de Monte Castelo (PR), São Jorge do Patrocínio (PR), São Pedro do Paraná (PR), Terra Roxa (PR), Vila Alta (PR), Rosana (SP);Não;Sim;1.005.161;0;0;0;1.005.161;0;0;0
0000.00.0027;ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA;Federal;Área de Proteção Ambiental;Category V;MG;1990;Decreto 98891 de 26/01/1990;-;Conceição do Mato Dentro (MG), Itabira (MG), Itambé do Mato Dentro (MG), Jaboticatubas (MG), Nova União (MG), Morro do Pilar (MG), Santana do Riacho (MG), Taquaraçu de Minas (MG);Não;Sim;131.769;0;0;131.769;0;0;0;0
0000.00.0028;ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DO RIO VERMELHO;Federal;Área de Proteção Ambiental;Category V;GO;2001;Decreto S/N de 27/09/2001;-;Damianópolis (GO), Mambaí (GO), Buritinópolis (GO), Posse (GO);Não;Sim;176.322;0;0;176.322;0;0;0;0
0000.00.0029;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA;Federal;Área de Proteção Ambiental;Category V;CE, PI;1996;Decreto S/N de 26/11/1996;-;Viçosa do Ceará (CE), Bom Princípio do Piauí (PI), Brasileira (PI), Buriti dos Lopes (PI), Cocal (PI), Conceição do Canindé (PI), Domingos Mourão (PI), Lagoa de São Francisco (PI), Piracuruca (PI), Piripiri (PI), Pedro II (PI), Chaval (CE), Granja (CE), Moraújo (CE), Tianguá (CE);Não;Não;1.624.177;0;1.611.445;12.732;0;0;0;0
0000.00.0030;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA VASSUNUNGA;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1990;Decreto 99276 de 06/06/1990;-;Santa Rita do Passa Quatro (SP);Não;Não;151;0;0;0;151;0;0;0
