ID_UC,Código UC,Informações Gerais,Nome da UC,Esfera Administrativa,Categoria de Manejo,Categoria IUCN,UF,Ano de Criação,Ano do ato legal mais recente,Ato Legal de Criação,Outros atos legais,Municípios Abrangidos,Plano de Manejo,Conselho Gestor,Órgão Gestor,"Fonte da Área: (1 = SHP, 0 = Ato legal)",Área soma biomas,Área soma Biomas Continental,Área Ato Legal de Criação,Bioma Área (ha),Amazônia,Caatinga,Cerrado,Mata Atlântica,Pampa,Pantanal,Área Marinha,Bioma declarado,Grupo,PI,US,Recortes (ha),Mar Territorial,Município Costeiro,Município Costeiro + Área Marinha,Programa/Projeto,Sítios do Patrimônio Mundial,Sítios Ramsar,Mosaico,Reserva da Biosfera,Qualidade dos dados georreferenciados,Data da última certificação dos dados pelo Órgão Gestor
1,0000.00.0001,,ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM,Federal,Área de Proteção Ambiental,Category V,SC,1992,1992,Decreto 528 de 20/05/1992,Sem informação.,GOVERNADOR CELSO RAMOS (SC),Não,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,4436.58041,1869.586047,3000,,0,0,0,1869.586047,0,0,2566.994363,Área Marinha,Uso Sustentável,0,1,,1,1,1,,,,,RB - Mt Atlântica,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
2,0000.00.0002,,ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU,Federal,Área de Proteção Ambiental,Category V,MG,1989,1989,Decreto 98182 de 26/09/1989,Sem informação.,BONITO DE MINAS (MG) - CÔNEGO MARINHO (MG) - ITACARAMBI (MG) - JANUÁRIA (MG),Não,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,143355.6227,143355.6227,143866,,0,26621.15058,116734.4721,0,0,0,0,Cerrado,Uso Sustentável,0,1,,0,0,0,,,,Mosaico Sertão Veredas - Peruaçu,"RB - Caatinga, RB - Mt Atlântica",Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
3,0000.00.0003,,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DESCOBERTO,Federal,Área de Proteção Ambiental,Category V,"DF, GO",1983,1983,Decreto 88940 de 07/11/1983,Sem informação.,ÁGUAS LINDAS DE GOIÁS (GO) - BRASÍLIA (DF) - PADRE BERNARDO (GO),Não,Não,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,41783.63375,41783.63375,0,,0,0,41783.63375,0,0,0,0,Cerrado,Uso Sustentável,0,1,,0,0,0,,,,,RB - Cerrado,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
4,0000.00.0004,,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU,Federal,Área de Proteção Ambiental,Category V,DF,1983,1983,Decreto 88940 de 07/11/1983,Sem informação.,BRASÍLIA (DF),Não,Não,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,82680.65246,82680.65246,0,,0,0,82680.65246,0,0,0,0,Cerrado,Uso Sustentável,0,1,,0,0,0,,,,,RB - Cerrado,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
5,0000.00.0005,,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO,Federal,Área de Proteção Ambiental,Category V,RJ,2002,2002,Decreto S/N de 27/06/2002,Sem informação.,ARARUAMA (RJ) - CABO FRIO (RJ) - CACHOEIRAS DE MACACU (RJ) - CASIMIRO DE ABREU (RJ) - RIO BONITO (RJ) - RIO DAS OSTRAS (RJ) - SILVA JARDIM (RJ),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,150374.538,150374.538,150700,,0,0,0,150374.538,0,0,0,Mata Atlântica,Uso Sustentável,0,1,,0,1,1,,,,Mosaico Mico-Leão-Dourado,RB - Mt Atlântica,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
6,0000.00.0006,,ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,Federal,Área de Proteção Ambiental,Category V,SC,2000,2000,Decreto SN de 14/09/2000,Sem informação.,FLORIANÓPOLIS (SC) - GAROPABA (SC) - IÇARA (SC) - IMBITUBA (SC) - JAGUARUNA (SC) - LAGUNA (SC) - PALHOÇA (SC) - PAULO LOPES (SC) - TUBARÃO (SC),Não,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,154859.3202,34864.62335,156100,,0,0,0,34864.62335,0,0,119994.6969,Área Marinha,Uso Sustentável,0,1,,1,1,1,GEF Mar,,,,RB - Mt Atlântica,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
7,0000.00.0007,,ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE,Federal,Área de Proteção Ambiental,Category V,PB,1998,1998,Decreto 924 de 10/09/1993,Revisão dos limites: Decreto S/N de 07/03/1998,BAÍA DA TRAIÇÃO (PB) - LUCENA (PB) - MARCAÇÃO (PB) - RIO TINTO (PB),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,14918.81024,11610.75616,14640,,0,187.7625645,0,11422.9936,0,0,3308.054074,Mata Atlântica,Uso Sustentável,0,1,,1,1,1,,,,,RB - Mt Atlântica,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
8,0000.00.0008,,ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE,Federal,Área de Proteção Ambiental,Category V,"CE, PE, PI",1997,1997,Decreto sn de 04/08/1997,Sem informação.,ABAIARA (CE) - ALEGRETE DO PIAUÍ (PI) - ARARIPE (CE) - ARARIPINA (PE) - BARBALHA (CE) - BODOCÓ (PE) - BREJO SANTO (CE) - CALDEIRÃO GRANDE DO PIAUÍ (PI) - CAMPOS SALES (CE) - CARIDADE DO PIAUÍ (PI) - CEDRO (PE) - CRATO (CE) - CURRAL NOVO DO PIAUÍ (PI) - EXU (PE) - FRANCISCO MACEDO (PI) - FRONTEIRAS (PI) - IPUBI (PE) - JARDIM (CE) - JATI (CE) - MARCOLÂNDIA (PI) - MISSÃO VELHA (CE) - MOREILÂNDIA (PE) - NOVA OLINDA (CE) - PADRE MARCOS (PI) - PENAFORTE (CE) - PORTEIRAS (CE) - POTENGI (CE) - SALITRE (CE) - SANTANA DO CARIRI (CE) - SÃO JULIÃO (PI) - SERRITA (PE) - SIMÕES (PI) - TRINDADE (PE),Não,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,972605.1518,972605.1518,1063000,,0,972605.1518,0,0,0,0,0,Caatinga,Uso Sustentável,0,1,,0,0,0,GEF Terrestre,,,,"RB - Caatinga, RB - Mt Atlântica",Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
9,0000.00.0009,,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DOS CORAIS,Federal,Área de Proteção Ambiental,Category V,"AL, PE",1997,1997,Decreto s/n de 23/10/1997,Sem informação.,BARRA DE SANTO ANTÔNIO (AL) - BARREIROS (PE) - JAPARATINGA (AL) - MACEIÓ (AL) - MARAGOGI (AL) - PARIPUEIRA (AL) - PASSO DE CAMARAGIBE (AL) - PORTO CALVO (AL) - PORTO DE PEDRAS (AL) - RIO FORMOSO (PE) - SÃO JOSÉ DA COROA GRANDE (PE) - SÃO LUÍS DO QUITUNDE (AL) - SÃO MIGUEL DOS MILAGRES (AL) - TAMANDARÉ (PE),Não,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,405628.9935,4500.427753,405946,,0,0,0,4500.427753,0,0,401128.5657,Área Marinha,Uso Sustentável,0,1,,1,1,1,GEF Mar,,,,RB - Mt Atlântica,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
10,0000.00.0010,,ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS,Federal,Área de Proteção Ambiental,Category V,RJ,1982,1992,Decreto 87561 de 13/09/1982,Revisão dos limites: Decreto 527 de 20/05/1992,DUQUE DE CAXIAS (RJ) - GUAPIMIRIM (RJ) - MAGÉ (RJ) - PETRÓPOLIS (RJ),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,68224.28353,68224.28353,0,,0,0,0,68224.28353,0,0,0,Mata Atlântica,Uso Sustentável,0,1,,0,1,1,,,,Mosaico Mata Atlântica Central Fluminense,RB - Mt Atlântica,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
