ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Órgão Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Bioma declarado;% Além da linha de costa;Grupo;PI;US;Recortes (ha);Lei da Mata Atlântica;Mar Territorial;Município Costeiro;Município Costeiro + Área Marinha;Amazônia Legal;Programa/Projeto;Sítios do Patrimônio Mundial;Sítios Ramsar;Mosaico;Reserva da Biosfera;Sobreposição com TI ou TQ;Biomas Abrangidos;Região;Presente na versão anterior;Diferença Área;Razão Diferença Área;Qualidade dos dados georreferenciados;Data da última certificação dos dados pelo Órgão Gestor
1;0000.00.0001;;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Federal;Área de Proteção Ambiental;Category V;SC;1992;Decreto 528 de 20/05/1992;Sem informação.;GOVERNADOR CELSO RAMOS (SC);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;4436,58041;1.870;3.000;;0;0;0;1.870;0;0;2.567;Área Marinha;0,578597507;Uso Sustentável;0;1;;;1;1;1;;;;;;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;segunda-feira, 30 de outubro de 2023
2;0000.00.0002;;ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU;Federal;Área de Proteção Ambiental;Category V;MG;1989;Decreto 98182 de 26/09/1989;Sem informação.;BONITO DE MINAS (MG) - CÔNEGO MARINHO (MG) - ITACARAMBI (MG) - JANUÁRIA (MG);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;143355,6227;143.356;143.866;;0;26.621;116.734;0;0;0;0;Cerrado;0;Uso Sustentável;0;1;;;0;0;0;;;;;Sertão Veredas-Peruaçu;RB - Caatinga, RB - Mt Atlântica;;;;1;-1,65E-06;;Polígono corresponde ao memorial descritivo;sexta-feira, 23 de abril de 2010
3;0000.00.0003;;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DESCOBERTO;Federal;Área de Proteção Ambiental;Category V;DF, GO;1983;Decreto nº 88.940 de 07/11/1983;Sem informação.;ÁGUAS LINDAS DE GOIÁS (GO) - BRASÍLIA (DF) - PADRE BERNARDO (GO);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;41783,63375;41.784;41.784;;0;0;41.784;0;0;0;0;Cerrado;0;Uso Sustentável;0;1;;;0;0;0;;;;;;RB - Cerrado;;;;1;8,28E-07;;Polígono corresponde ao memorial descritivo;segunda-feira, 4 de setembro de 2023
4;0000.00.0004;;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU;Federal;Área de Proteção Ambiental;Category V;DF;1983;Decreto 88940 de 07/11/1983;Sem informação.;BRASÍLIA (DF);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;82680,65248;82.681;0;;0;0;82.681;0;0;0;0;Cerrado;0;Uso Sustentável;0;1;;;0;0;0;;;;;;RB - Cerrado;;;;1;1,90E-05;;Polígono corresponde ao memorial descritivo;quarta-feira, 27 de abril de 2011
5;0000.00.0005;;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO-LEÃO-DOURADO;Federal;Área de Proteção Ambiental;Category V;RJ;2002;Decreto S/N de 27/06/2002;Sem informação.;ARARUAMA (RJ) - CABO FRIO (RJ) - CACHOEIRAS DE MACACU (RJ) - CASIMIRO DE ABREU (RJ) - RIO BONITO (RJ) - RIO DAS OSTRAS (RJ) - SILVA JARDIM (RJ);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;150374,538;150.375;150.700;;0;0;0;150.375;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;1;1;;;;;Mico-Leão-Dourado;RB - Mt Atlântica;;;;1;-5,29E-07;;Polígono corresponde ao memorial descritivo;segunda-feira, 24 de julho de 2023
6;0000.00.0006;;ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA;Federal;Área de Proteção Ambiental;Category V;SC;2000;Decreto SN de 14/09/2000;Sem informação.;FLORIANÓPOLIS (SC) - GAROPABA (SC) - IÇARA (SC) - IMBITUBA (SC) - JAGUARUNA (SC) - LAGUNA (SC) - PALHOÇA (SC) - PAULO LOPES (SC) - TUBARÃO (SC);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;154859,3202;34.865;156.100;;0;0;0;34.865;0;0;119.995;Área Marinha;0,774862609;Uso Sustentável;0;1;;;1;1;1;;GEF Mar-Áreas Marinhas e Costeiras Protegidas;;;;RB - Mt Atlântica;;;;1;1,46E-10;;Polígono corresponde ao memorial descritivo;quinta-feira, 27 de setembro de 2007
7;0000.00.0007;;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Federal;Área de Proteção Ambiental;Category V;PB;1998;Decreto 924 de 10/09/1993;Revisão dos limites: Decreto S/N de 07/03/1998;BAÍA DA TRAIÇÃO (PB) - LUCENA (PB) - MARCAÇÃO (PB) - RIO TINTO (PB);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;14918,81024;11.611;14.640;;0;188;0;11.423;0;0;3.308;Mata Atlântica;0,221737124;Uso Sustentável;0;1;;;1;1;1;;;;;;RB - Mt Atlântica;;;;1;4,73E-11;;Polígono corresponde ao memorial descritivo;segunda-feira, 12 de abril de 2010
8;0000.00.0008;;ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE;Federal;Área de Proteção Ambiental;Category V;CE, PE, PI;1997;Decreto SN, de 04 de agosto de 1997 de 04/08/1997;Sem informação.;ABAIARA (CE) - ALEGRETE DO PIAUÍ (PI) - ARARIPE (CE) - ARARIPINA (PE) - BARBALHA (CE) - BODOCÓ (PE) - BREJO SANTO (CE) - CALDEIRÃO GRANDE DO PIAUÍ (PI) - CAMPOS SALES (CE) - CARIDADE DO PIAUÍ (PI) - CEDRO (PE) - CRATO (CE) - CURRAL NOVO DO PIAUÍ (PI) - EXU (PE) - FRANCISCO MACEDO (PI) - FRONTEIRAS (PI) - IPUBI (PE) - JARDIM (CE) - JATI (CE) - MARCOLÂNDIA (PI) - MISSÃO VELHA (CE) - MOREILÂNDIA (PE) - NOVA OLINDA (CE) - PADRE MARCOS (PI) - PENAFORTE (CE) - PORTEIRAS (CE) - POTENGI (CE) - SALITRE (CE) - SANTANA DO CARIRI (CE) - SÃO JULIÃO (PI) - SERRITA (PE) - SIMÕES (PI) - TRINDADE (PE);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;972605,1518;972.605;1.063.000;;0;972.605;0;0;0;0;0;Caatinga;0;Uso Sustentável;0;1;;;0;0;0;;GEF Terrestre-Estratégias de conservação, restauração e manejo para a biodiversidade da Caatinga, Pampa e Pantanal;;;;RB - Caatinga, RB - Mt Atlântica;;;;1;2,33E-10;;Polígono corresponde ao memorial descritivo;terça-feira, 31 de outubro de 2023
9;0000.00.0009;;ÁREA DE PROTEÇÃO AMBIENTAL DA COSTA DOS CORAIS;Federal;Área de Proteção Ambiental;Category V;AL, PE;1997;Decreto S/N de 23/10/1997;Sem informação.;BARRA DE SANTO ANTÔNIO (AL) - BARREIROS (PE) - JAPARATINGA (AL) - MACEIÓ (AL) - MARAGOGI (AL) - PARIPUEIRA (AL) - PASSO DE CAMARAGIBE (AL) - PORTO CALVO (AL) - PORTO DE PEDRAS (AL) - SÃO JOSÉ DA COROA GRANDE (PE) - SÃO MIGUEL DOS MILAGRES (AL) - TAMANDARÉ (PE);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;405628,9935;4.500;413.563;;0;0;0;4.500;0;0;401.129;Área Marinha;0,988905064;Uso Sustentável;0;1;;;1;1;1;;GEF Mar-Áreas Marinhas e Costeiras Protegidas;;;;RB - Mt Atlântica;;;;1;-2,24E-06;;Polígono corresponde ao memorial descritivo;quarta-feira, 27 de dezembro de 2023
10;0000.00.0010;;ÁREA DE PROTEÇÃO AMBIENTAL DA REGIÃO SERRANA DE PETRÓPOLIS;Federal;Área de Proteção Ambiental;Category V;RJ;2022;Decreto 87561 de 13/07/1982;Revisão dos limites: Decreto 527 de 20/05/1992 - Revisão dos limites: Lei complementar 14.452 de 21/07/2022;DUQUE DE CAXIAS (RJ) - GUAPIMIRIM (RJ) - MAGÉ (RJ) - PETRÓPOLIS (RJ);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;58691,15741;58.691;68.224;;0;0;0;58.691;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;1;1;;;;;Mata Atlântica Central Fluminense;RB - Mt Atlântica;;;;1;-9533,126115;;Polígono corresponde ao memorial descritivo;quarta-feira, 11 de outubro de 2023
