ID_UC;Código UC;Informações Gerais;NOME DA UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Área soma biomas;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha
1;0000.00.0001;;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Federal;Área de Proteção Ambiental;Category V;SC;1992;1992;Decreto 528 de 20/05/1992;;Governador Celso Ramos (SC);Não;Sim;4.437;3.000;;0;0;0;4.332;0;0;104
5;0000.00.0005;;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO;Federal;Área de Proteção Ambiental;Category V;RJ;2002;2002;Decreto S/N de 27/06/2002;;Silva Jardim (RJ), Rio das Ostras (RJ), Rio Bonito (RJ), Casimiro de Abreu (RJ), Cachoeiras de Macacu (RJ), Cabo Frio (RJ), Araruama (RJ);Sim;Sim;150.373;150.700;;0;0;0;150.340;0;0;33
6;0000.00.0006;;ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA;Federal;Área de Proteção Ambiental;Category V;SC;2000;2000;Decreto SN de 14/09/2000;;Florianópolis (SC), Garopaba (SC), Içara (SC), Imbituba (SC), Jaguaruna (SC), Laguna (SC), Palhoça (SC), Paulo Lopes (SC), Tubarão (SC);Não;Sim;154.859;156.100;;0;0;0;33.024;0;0;121.834
7;0000.00.0007;;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Federal;Área de Proteção Ambiental;Category V;PB;1993;1998;Decreto 924 de 10/09/1993;"Revisão dos limites - Decreto S/N de 07/03/1998;";Baía da Traição (PB), Lucena (PB), Marcação (PB), Rio Tinto (PB);Não;Sim;14.919;14.640;;0;0;0;11.947;0;0;2.971
9;0000.00.0009;;ÁREA DE PROTEÇÃO AMBIENTAL COSTA DOS CORAIS;Federal;Área de Proteção Ambiental;Category V;PE, AL;1997;1997;Decreto s/n de 23/10/1997;;Tamandaré (PE), Barra de Santo Antônio (AL), Japaratinga (AL), Maceió (AL), Maragogi (AL), Passo de Camaragibe (AL), Porto Calvo (AL), Porto de Pedras (AL), São Luís do Quitunde (AL), São Miguel dos Milagres (AL), Paripueira (AL), Rio Formoso (PE), São José da Coroa Grande (PE), Barreiros (PE);Não;Sim;404.268;405.946;;0;0;0;9.978;0;0;394.290
10;0000.00.0010;;ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS;Federal;Área de Proteção Ambiental;Category V;RJ;1982;1992;Decreto 87561 de 13/09/1982;"Revisão dos limites - Decreto 527 de 20/05/1992;";Petrópolis (RJ), Magé (RJ), Guapimirim (RJ), Duque de Caxias (RJ);Sim;Sim;68.224;0;;0;0;0;68.224;0;0;0
13;0000.00.0013;;ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU;Federal;Área de Proteção Ambiental;Category V;RJ;1983;1983;Decreto 89242 de 27/12/1983;;Parati (RJ);Sim;Sim;32.611;32.688;;0;0;0;31.381;0;0;1.230
14;0000.00.0014;;ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE;Federal;Área de Proteção Ambiental;Category V;SP;1984;1995;Decreto 90347 de 23/10/1984;"Ampliação - Decreto 91892 de 06/11/1995;";Ilha Comprida (SP), Peruíbe (SP), Miracatu (SP), Itariri (SP), Iguape (SP), Cananéia (SP);Não;Sim;202.308;196.955;;0;0;0;202.023;0;0;285
15;0000.00.0015;;ÁREA DE PROTEÇÃO AMBIENTAL DE FERNANDO DE NORONHA;Federal;Área de Proteção Ambiental;Category V;PE;1986;1986;Decreto 92755 de 05/06/1986;;Fernando de Noronha (PE);Sim;Sim;154.359;154.000;;0;0;0;0;0;0;154.359
16;0000.00.0016;;ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM;Federal;Área de Proteção Ambiental;Category V;RJ;1984;1984;Decreto 90225 de 25/09/1984;;Guapimirim (RJ), Itaboraí (RJ), Magé (RJ), São Gonçalo (RJ);Sim;Sim;13.890;13.950;;0;0;0;8.639;0;0;5.251
17;0000.00.0017;;ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA;Federal;Área de Proteção Ambiental;Category V;PR;1985;1997;Decreto 90883 de 31/01/1985;"Redução - Lei ordinária 9513 de 20/11/1997;";Antonina (PR), Campina Grande do Sul (PR), Guaraqueçaba (PR), Paranaguá (PR);Sim;Sim;282.441;283.014;;0;0;0;281.795;0;0;646
18;0000.00.0018;;ÁREA DE PROTEÇÃO AMBIENTAL DE PIAÇABUÇU;Federal;Área de Proteção Ambiental;Category V;AL;1983;1983;Decreto 88421 de 21/06/1983;;Feliz Deserto (AL), Piaçabuçu (AL);Não;Sim;9.107;9.143;;0;0;0;9.086;0;0;21
19;0000.00.0019;;ÁREA DE PROTEÇÃO AMBIENTAL DELTA DO PARNAIBA;Federal;Área de Proteção Ambiental;Category V;PI, MA, CE;1996;1996;Decreto S/N de 28/08/1996;;Ilha Grande (PI), Paulino Neves (MA), Tutóia (MA), Água Doce do Maranhão (MA), Araioses (MA), Chaval (CE), Barroquinha (CE), Luís Correia (PI), Parnaíba (PI), Cajueiro da Praia (PI);Não;Sim;309.585;313.800;;0;66.912;160.534;0;0;0;82.138
29;0000.00.0029;;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA;Federal;Área de Proteção Ambiental;Category V;CE, PI;1996;1996;Decreto s/n de 26/11/1996;;Viçosa do Ceará (CE), Bom Princípio do Piauí (PI), Brasileira (PI), Buriti dos Lopes (PI), Cocal (PI), Conceição do Canindé (PI), Domingos Mourão (PI), Lagoa de São Francisco (PI), Piracuruca (PI), Piripiri (PI), Pedro II (PI), Chaval (CE), Granja (CE), Moraújo (CE), Tianguá (CE);Não;Não;1.624.173;1.592.550;;0;1.611.385;12.789;0;0;0;0
34;0000.00.0034;;MONUMENTO NATURAL DAS ILHAS CAGARRAS;Federal;Monumento Natural;Category III;RJ;1989;2010;Resolução 11 de 14/09/1989;"Recategorização - Decreto S/N.º de 13/04/2010;";Niterói (RJ);Não;Não;106;0;;0;0;0;32;0;0;74
36;0000.00.0036;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA ILHA AMEIXAL;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1985;1985;Decreto 91889 de 05/11/1985;;Peruíbe (SP);Não;Não;359;79.830;;0;0;0;359;0;0;0
37;0000.00.0037;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1985;1985;Decreto 91887 de 05/11/1985;;Peruíbe (SP);Não;Não;65;33;;0;0;0;0;0;0;65
39;0000.00.0039;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA MANGUEZAIS DA FOZ DO RIO MAMANGUAPE;Federal;Área de Relevante Interesse Ecológico;Category IV;PB;1985;1985;Decreto 91890 de 05/11/1985;;Marcação (PB), Rio Tinto (PB);Não;Não;5.769;5.721;;0;0;0;5.486;0;0;283
52;0000.00.0052;;ESTAÇÃO ECOLÓGICA DE CARIJÓS;Federal;Estação Ecológica;Category Ia;SC;1987;1987;Decreto 94656 de 20/07/1987;;Florianópolis (SC);Sim;Sim;759;619;;0;0;0;759;0;0;0
54;0000.00.0054;;ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA;Federal;Estação Ecológica;Category Ia;PR;1982;1997;Decreto 87222 de 31/05/1982;"Ampliação - Decreto 93053 de 31/07/1986;Revisão dos limites - Lei ordinária 9513 de 20/11/1997;";Guaraqueçaba (PR);Não;Sim;4.370;13.639;;0;0;0;4.357;0;0;13
58;0000.00.0058;;ESTAÇÃO ECOLÓGICA DE MARACÁ JIPIOCA;Federal;Estação Ecológica;Category Ia;AP;1981;1981;Decreto 86061 de 02/06/1981;;Amapá (AP);Sim;Sim;58.756;72.000;;56.629;0;0;0;0;0;2.127
59;0000.00.0059;;ESTAÇÃO ECOLÓGICA DE MURICI;Federal;Estação Ecológica;Category Ia;AL;2001;2001;Decreto S/N de 28/05/2001;;Murici (AL), Messias (AL), Flexeiras (AL);Sim;Sim;6.131;6.116;;0;0;0;6.131;0;0;0
63;0000.00.0063;;ESTAÇÃO ECOLÓGICA DE TAMOIOS;Federal;Estação Ecológica;Category Ia;RJ;1990;1990;Decreto 98864 de 23/01/1990;;Angra dos Reis (RJ), Parati (RJ);Sim;Sim;8.660;700;;0;0;0;188;0;0;8.472
64;0000.00.0064;;ESTAÇÃO ECOLÓGICA TUPINAMBÁS;Federal;Estação Ecológica;Category Ia;SP;1987;1987;Decreto 94656 de 20/07/1987;;São Sebastião (SP), Ubatuba (SP);Sim;Sim;2.464;28;;0;0;0;27;0;0;2.437
67;0000.00.0067;;ESTAÇÃO ECOLÓGICA DO JARI;Federal;Estação Ecológica;Category Ia;AP, PA;1982;1984;Decreto 87092 de 12/04/1982;"Ampliação - Decreto 89440 de 13/03/1984;";Laranjal do Jari (AP), Almeirim (PA);Não;Sim;231.109;207.370;;231.109;0;0;0;0;0;0
70;0000.00.0070;;ESTAÇÃO ECOLÓGICA DO TAIM;Federal;Estação Ecológica;Category Ia;RS;1986;2017;Decreto 92963 de 21/07/1986;"Ampliação - Decreto S/N de 05/06/2017;";Rio Grande (RS), Santa Vitória do Palmar (RS);Não;Sim;32.110;10.939;;0;0;0;0;31.936;0;174
71;0000.00.0071;;ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS;Federal;Estação Ecológica;Category Ia;SP;1986;1986;Decreto 92964 de 21/07/1986;;Cananéia (SP), Itanhaém (SP), Peruíbe (SP);Sim;Não;1.728;43;;0;0;0;80;0;0;1.648
89;0000.00.0089;;FLORESTA NACIONAL DE CAXIUANÃ;Federal;Floresta;Category VI;PA;1961;1961;Decreto 239 de 28/11/1961;;Gurupá (PA), Melgaço (PA), Portel (PA), Porto de Moz (PA);Não;Não;317.945;200.000;;317.945;0;0;0;0;0;0
91;0000.00.0091;;FLORESTA NACIONAL DE GOYTACAZES;Federal;Floresta;Category VI;ES;2002;2012;Decreto S/N de 28/11/2002;"Ampliação - Decreto S/N de 05/06/2012;";Linhares (ES);Não;Sim;1.426;1.350;;0;0;0;1.426;0;0;0
100;0000.00.0100;;FLORESTA NACIONAL DE NÍSIA FLORESTA;Federal;Floresta;Category VI;RN;2001;2001;Decreto S/N de 27/09/2001;;Nísia Floresta (RN);Não;Sim;169;174;;0;0;0;169;0;0;0
113;0000.00.0113;;FLORESTA NACIONAL DE AMAPÁ;Federal;Floresta;Category VI;AP;1989;1989;Decreto 97630 de 10/04/1989;;Amapá (AP), Calçoene (AP), Ferreira Gomes (AP), Porto Grande (AP), Serra do Navio (AP), Tartarugalzinho (AP), Pracuúba (AP);Não;Sim;460.360;412.000;;460.360;0;0;0;0;0;0
122;0000.00.0122;;FLORESTA NACIONAL DE RIO PRETO;Federal;Floresta;Category VI;ES;1990;1990;Decreto 98845 de 17/01/1990;;Conceição da Barra (ES);Não;Não;2.817;2.830;;0;0;0;2.817;0;0;0
127;0000.00.0127;;FLORESTA NACIONAL DE MÁRIO XAVIER;Federal;Floresta;Category VI;RJ;1986;1986;Decreto 93369 de 08/10/1986;;Seropédica (RJ);Não;Sim;496;493;;0;0;0;496;0;0;0
132;0000.00.0132;;FLORESTA NACIONAL DA RESTINGA DE CABEDELO;Federal;Floresta;Category VI;PB;2004;2004;Decreto S/N de 02/06/2004;;Cabedelo (PB), João Pessoa (PB);Sim;Sim;115;103;;0;0;0;115;0;0;0
140;0000.00.0140;;PARQUE NACIONAL DA LAGOA DO PEIXE;Federal;Parque;Category II;RS;1986;1986;Decreto 93546 de 06/11/1986;;Mostardas (RS), São José do Norte (RS), Tavares (RS);Sim;Sim;36.716;34.400;;0;0;0;0;32.520;0;4.196
141;0000.00.0141;;PARQUE NACIONAL RESTINGA DE JURUBATIBA;Federal;Parque;Category II;RJ;1998;1998;Decreto 39201 de 29/04/1998;;Quissamã (RJ), Macaé (RJ), Carapebus (RJ);Sim;Sim;14.919;14.863;;0;0;0;14.519;0;0;400
142;0000.00.0142;;PARQUE NACIONAL DA SERRA DA BOCAINA;Federal;Parque;Category II;RJ, SP;1971;1972;Decreto 68172 de 04/02/1971;"Redução - Decreto 70694 de 08/06/1972;";Angra dos Reis (RJ), Parati (RJ), Areias (SP), Cunha (SP), São José do Barreiro (SP), Ubatuba (SP);Sim;Sim;106.565;134.000;;0;0;0;106.393;0;0;173
147;0000.00.0147;;PARQUE NACIONAL DA SERRA DE ITABAIANA;Federal;Parque;Category II;SE;2005;2005;Decreto S/N de 15/06/2005;;Areia Branca (SE), Campo do Brito (SE), Itabaiana (SE), Itaporanga D'Ajuda (SE), Laranjeiras (SE), Malhador (SE);Não;Não;8.025;8.030;;0;0;0;8.025;0;0;0
152;0000.00.0152;;PARQUE NACIONAL DA SERRA DOS ORGÃOS;Federal;Parque;Category II;RJ;1939;2008;Decreto 1822 de 30/11/1939;"Ampliação - Decreto S/N de 13/09/2008;Revisão dos limites - Decreto 90023 de 02/08/1984;";Teresópolis (RJ), Petrópolis (RJ), Magé (RJ), Guapimirim (RJ);Sim;Sim;20.021;10.527;;0;0;0;20.021;0;0;0
154;0000.00.0154;;PARQUE NACIONAL DA TIJUCA;Federal;Parque;Category II;RJ;1961;2004;Decreto 50923 de 06/07/1961;"Revisão dos limites - Decreto 70186 de 23/02/1972;Alteração de nome - Decreto 60183 de 08/02/1967;Ampliação - Decreto S/N de 03/06/2004;";Rio de Janeiro (RJ);Sim;Sim;3.958;3.200;;0;0;0;3.958;0;0;0
162;0000.00.0162;;PARQUE NACIONAL DE JERICOACOARA;Federal;Parque;Category II;CE;2002;2007;Decreto S/N de 04/02/2002;"Revisão dos limites - Lei ordinária 11486 de 15/06/2007;";Jijoca de Jericoacoara (CE), Cruz (CE);Sim;Sim;8.863;8.416;;0;6.567;0;0;0;0;2.296
164;0000.00.0164;;PARQUE NACIONAL DE SAINT-HILAIRE/LANGE;Federal;Parque;Category II;PR;2001;2001;Lei ordinária 10227 de 23/05/2001;;Guaratuba (PR), Matinhos (PR), Morretes (PR), Paranaguá (PR);Não;Sim;24.352;25.000;;0;0;0;24.352;0;0;0
169;0000.00.0169;;PARQUE NACIONAL DO CABO ORANGE;Federal;Parque;Category II;AP;1980;1980;Decreto 84913 de 15/07/1980;;Calçoene (AP), Oiapoque (AP);Sim;Sim;657.328;619.000;;437.715;0;0;0;0;0;219.614
171;0000.00.0171;;PARQUE NACIONAL DO DESCOBRIMENTO;Federal;Parque;Category II;BA;1999;2012;Decreto s/n de 20/04/1999;"Ampliação - Decreto S/N de 05/06/2012;";Prado (BA);Não;Sim;22.694;21.145;;0;0;0;22.694;0;0;0
176;0000.00.0176;;PARQUE NACIONAL PAU BRASIL;Federal;Parque;Category II;BA;1999;2010;Decreto S/N de 20/04/1999;"Ampliação - Decreto S/Nº de 11/06/2010;";Porto Seguro (BA);Não;Sim;18.934;11.538;;0;0;0;18.934;0;0;0
178;0000.00.0178;;PARQUE NACIONAL DO SUPERAGUI;Federal;Parque;Category II;PR;1989;1997;Decreto 97688 de 25/04/1989;"Ampliação - Lei ordinária 9513 de 20/11/1997;";Guaraqueçaba (PR);Não;Sim;33.860;21.400;;0;0;0;33.318;0;0;543
180;0000.00.0180;;PARQUE NACIONAL DOS LENÇOIS MARANHENSES;Federal;Parque;Category II;MA;1981;1981;Decreto 86060 de 02/06/1981;;Primeira Cruz (MA), Barreirinhas (MA);Sim;Não;156.562;155.000;;0;0;149.259;0;0;0;7.303
182;0000.00.0182;;PARQUE NACIONAL DO MONTE PASCOAL;Federal;Parque;Category II;BA;1961;2000;Decreto 242 de 29/11/1961;"Alteração de nome - Decreto 3421 de 20/04/2000;";Porto Seguro (BA), Prado (BA);Não;Não;22.240;22.500;;0;0;0;22.188;0;0;52
185;0000.00.0185;;PARQUE NACIONAL MARINHO DOS ABROLHOS;Federal;Parque;Category II;BA;1983;1983;Decreto 88218 de 06/04/1983;;Alcobaça (BA), Caravelas (BA);Sim;Sim;87.954;91.255;;0;0;0;0;0;0;87.954
186;0000.00.0186;;PARQUE NACIONAL MAR. DE FERNANDO DE NORONHA;Federal;Parque;Category II;PE;1988;1988;Decreto 96693 de 14/10/1988;;Fernando de Noronha (PE);Não;Sim;10.929;11.270;;0;0;0;0;0;0;10.929
187;0000.00.0187;;PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE;Federal;Parque;Category II;AP, PA;2002;2002;Decreto S/N de 22/08/2002;;Laranjal do Jari (AP), Serra do Navio (AP), Oiapoque (AP), Calçoene (AP), Almeirim (PA);Sim;Sim;3.835.266;3.867.000;;3.835.266;0;0;0;0;0;0
195;0000.00.0195;;RESERVA BIOLÓGICA DE COMBOIOS;Federal;Reserva Biológica;Category Ia;ES;1984;1984;Decreto 90222 de 25/09/1984;;Aracruz (ES), Linhares (ES);Sim;Não;785;4.000;;0;0;0;617;0;0;168
196;0000.00.0196;;RESERVA BIOLÓGICA GUARIBAS;Federal;Reserva Biológica;Category Ia;PB;1990;1990;Decreto 98884 de 25/01/1990;;Rio Tinto (PB), Mamanguape (PB);Sim;Sim;4.052;4.321;;0;0;0;4.052;0;0;0
198;0000.00.0198;;RESERVA BIOLÓGICA DE SALTINHO;Federal;Reserva Biológica;Category Ia;PE;1983;1983;Decreto 88744 de 21/09/1983;;Rio Formoso (PE), Tamandaré (PE);Sim;Sim;563;548;;0;0;0;563;0;0;0
199;0000.00.0199;;RESERVA BIOLÓGICA DE SANTA ISABEL;Federal;Reserva Biológica;Category Ia;SE;1988;1988;Decreto 96999 de 20/10/1988;;Pacatuba (SE), Pirambu (SE);Não;Não;4.110;2.766;;0;0;0;1.824;0;0;2.286
201;0000.00.0201;;RESERVA BIOLÓGICA DE SOORETAMA;Federal;Reserva Biológica;Category Ia;ES;1982;1982;Decreto 87588 de 20/09/1982;;Jaguaré (ES), Linhares (ES), Vila Valério (ES), Sooretama (ES);Não;Sim;27.859;24.000;;0;0;0;27.859;0;0;0
202;0000.00.0202;;RESERVA BIOLÓGICA DE UNA;Federal;Reserva Biológica;Category Ia;BA;1980;2007;Decreto 85463 de 10/12/1980;"Ampliação - Decreto s/n de 21/12/2007;";Una (BA);Sim;Sim;18.725;11.400;;0;0;0;18.725;0;0;0
203;0000.00.0203;;RESERVA BIOLÓGICA ATOL DAS ROCAS;Federal;Reserva Biológica;Category Ia;RN;1979;1979;Decreto 83549 de 05/06/1979;;Natal (RN);Sim;Não;35.186;36.249;;0;0;0;0;0;0;35.186
205;0000.00.0205;;RESERVA BIOLÓGICA DO CÓRREGO GRANDE;Federal;Reserva Biológica;Category Ia;BA, ES;1989;1989;Decreto 97657 de 12/04/1989;;Mucuri (BA), Conceição da Barra (ES);Sim;Sim;1.504;1.504;;0;0;0;1.504;0;0;0
209;0000.00.0209;;RESERVA BIOLÓGICA DO LAGO PIRATUBA;Federal;Reserva Biológica;Category Ia;AP;1980;1984;Decreto 84914 de 16/07/1980;"Revisão dos limites - Decreto 89932 de 10/07/1984;";Pracuúba (AP), Tartarugalzinho (AP), Amapá (AP);Não;Sim;392.468;395.000;;391.593;0;0;0;0;0;875
212;0000.00.0212;;RESERVA BIOLÓGICA DO TINGUÁ;Federal;Reserva Biológica;Category Ia;RJ;1989;1989;Decreto 97780 de 23/05/1989;;Duque de Caxias (RJ), Miguel Pereira (RJ), Nova Iguaçu (RJ), Petrópolis (RJ);Sim;Sim;24.813;24.902;;0;0;0;24.813;0;0;0
214;0000.00.0214;;RESERVA BIOLÓGICA MARINHA DO ARVOREDO;Federal;Reserva Biológica;Category Ia;SC;1990;1990;Decreto 99142 de 12/03/1990;;Bombinhas (SC), Florianópolis (SC), Governador Celso Ramos (SC);Sim;Sim;17.105;17.600;;0;0;0;335;0;0;16.770
217;0000.00.0217;;RESERVA BIOLÓGICA UNIÃO;Federal;Reserva Biológica;Category Ia;RJ;1998;2017;Decreto s/n de 22/04/1998;"Ampliação - Decreto S/N de 05/06/2017;";Casimiro de Abreu (RJ), Macaé (RJ), Rio das Ostras (RJ);Sim;Sim;7.757;2.930;;0;0;0;7.757;0;0;0
218;0000.00.0218;;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ITATUPÃ-BAQUIÁ;Federal;Reserva de Desenvolvimento Sustentável;Category VI;PA;2005;2005;Decreto S/N de 14/06/2005;;Gurupá (PA);Não;Sim;64.441;64.735;;64.441;0;0;0;0;0;0
223;0000.00.0223;;RESERVA EXTRATIVISTA CHOCOARÉ-MATO GROSSO;Federal;Reserva Extrativista;Category VI;PA;2002;2002;Decreto S/N de 16/12/2002;;Santarém Novo (PA);Não;Sim;2.783;2.785;;2.783;0;0;0;0;0;0
225;0000.00.0225;;RESERVA EXTRATIVISTA MARINHA DO DELTA DO PARNAIBA;Federal;Reserva Extrativista;Category VI;MA, PI;2000;2000;Decreto S/N de 16/11/2000;;Água Doce do Maranhão (MA), Ilha Grande (PI);Não;Não;27.022;27.021;;0;718;25.758;0;0;0;546
227;0000.00.0227;;RESERVA EXTRATIVISTA MARACANÃ;Federal;Reserva Extrativista;Category VI;PA;2002;2002;Decreto S/N de 13/12/2002;;Maracanã (PA);Não;Não;30.179;30.018;;18.285;0;0;0;0;0;11.894
