codigo_uc;nome_uc;categoria_manejo;area_ha;grupo;ano;grupo_norm
0000.00.0001;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Área de Proteção Ambiental;4437.0;Desconhecido;2018;US
0000.00.0005;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO;Área de Proteção Ambiental;150374.0;Desconhecido;2018;US
0000.00.0006;ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA;Área de Proteção Ambiental;154867.0;Desconhecido;2018;US
0000.00.0007;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Área de Proteção Ambiental;14918.0;Desconhecido;2018;US
0000.00.0009;ÁREA DE PROTEÇÃO AMBIENTAL COSTA DOS CORAIS;Área de Proteção Ambiental;404288.0;Desconhecido;2018;US
0000.00.0010;ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS;Área de Proteção Ambiental;68224.0;Desconhecido;2018;US
0000.00.0013;ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU;Área de Proteção Ambiental;32611.0;Desconhecido;2018;US
0000.00.0014;ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE;Área de Proteção Ambiental;202308.0;Desconhecido;2018;US
0000.00.0015;ÁREA DE PROTEÇÃO AMBIENTAL DE FERNANDO DE NORONHA;Área de Proteção Ambiental;154406.0;Desconhecido;2018;US
0000.00.0016;ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM;Área de Proteção Ambiental;13890.0;Desconhecido;2018;US
0000.00.0017;ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA;Área de Proteção Ambiental;282444.0;Desconhecido;2018;US
0000.00.0018;ÁREA DE PROTEÇÃO AMBIENTAL DE PIAÇABUÇU;Área de Proteção Ambiental;9107.0;Desconhecido;2018;US
0000.00.0019;ÁREA DE PROTEÇÃO AMBIENTAL DELTA DO PARNAIBA;Área de Proteção Ambiental;309586.0;Desconhecido;2018;US
0000.00.0029;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA;Área de Proteção Ambiental;1624177.0;Desconhecido;2018;US
0000.00.0034;MONUMENTO NATURAL DAS ILHAS CAGARRAS;Monumento Natural;106.0;Desconhecido;2018;PI
0000.00.0036;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA ILHA AMEIXAL;Área de Relevante Interesse Ecológico;359.0;Desconhecido;2018;US
0000.00.0037;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA;Área de Relevante Interesse Ecológico;65.0;Desconhecido;2018;US
0000.00.0039;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA MANGUEZAIS DA FOZ DO RIO MAMANGUAPE;Área de Relevante Interesse Ecológico;5769.0;Desconhecido;2018;US
0000.00.0052;ESTAÇÃO ECOLÓGICA DE CARIJÓS;Estação Ecológica;759.0;Desconhecido;2018;PI
0000.00.0054;ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA;Estação Ecológica;4370.0;Desconhecido;2018;PI
0000.00.0058;ESTAÇÃO ECOLÓGICA DE MARACÁ JIPIOCA;Estação Ecológica;58756.0;Desconhecido;2018;PI
0000.00.0059;ESTAÇÃO ECOLÓGICA DE MURICI;Estação Ecológica;6132.0;Desconhecido;2018;PI
0000.00.0063;ESTAÇÃO ECOLÓGICA DE TAMOIOS;Estação Ecológica;8660.0;Desconhecido;2018;PI
0000.00.0064;ESTAÇÃO ECOLÓGICA TUPINAMBÁS;Estação Ecológica;2464.0;Desconhecido;2018;PI
0000.00.0067;ESTAÇÃO ECOLÓGICA DO JARI;Estação Ecológica;231087.0;Desconhecido;2018;PI
0000.00.0070;ESTAÇÃO ECOLÓGICA DO TAIM;Estação Ecológica;32110.0;Desconhecido;2018;PI
0000.00.0071;ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS;Estação Ecológica;1728.0;Desconhecido;2018;PI
0000.00.0089;FLORESTA NACIONAL DE CAXIUANÃ;Floresta;317947.0;Desconhecido;2018;US
0000.00.0091;FLORESTA NACIONAL DE GOYTACAZES;Floresta;1426.0;Desconhecido;2018;US
0000.00.0100;FLORESTA NACIONAL DE NÍSIA FLORESTA;Floresta;169.0;Desconhecido;2018;US
0000.00.0113;FLORESTA NACIONAL DE AMAPÁ;Floresta;460359.0;Desconhecido;2018;US
0000.00.0122;FLORESTA NACIONAL DE RIO PRETO;Floresta;2817.0;Desconhecido;2018;US
0000.00.0127;FLORESTA NACIONAL DE MÁRIO XAVIER;Floresta;496.0;Desconhecido;2018;US
0000.00.0132;FLORESTA NACIONAL DA RESTINGA DE CABEDELO;Floresta;115.0;Desconhecido;2018;US
0000.00.0140;PARQUE NACIONAL DA LAGOA DO PEIXE;Parque;36722.0;Desconhecido;2018;PI
0000.00.0141;PARQUE NACIONAL RESTINGA DE JURUBATIBA;Parque;14919.0;Desconhecido;2018;PI
0000.00.0142;PARQUE NACIONAL DA SERRA DA BOCAINA;Parque;106565.0;Desconhecido;2018;PI
0000.00.0147;PARQUE NACIONAL DA SERRA DE ITABAIANA;Parque;8025.0;Desconhecido;2018;PI
0000.00.0152;PARQUE NACIONAL DA SERRA DOS ORGÃOS;Parque;20021.0;Desconhecido;2018;PI
0000.00.0154;PARQUE NACIONAL DA TIJUCA;Parque;3958.0;Desconhecido;2018;PI
0000.00.0162;PARQUE NACIONAL DE JERICOACOARA;Parque;8863.0;Desconhecido;2018;PI
0000.00.0164;PARQUE NACIONAL DE SAINT-HILAIRE/LANGE;Parque;24352.0;Desconhecido;2018;PI
0000.00.0169;PARQUE NACIONAL DO CABO ORANGE;Parque;657320.0;Desconhecido;2018;PI
0000.00.0171;PARQUE NACIONAL DO DESCOBRIMENTO;Parque;22694.0;Desconhecido;2018;PI
0000.00.0176;PARQUE NACIONAL PAU BRASIL;Parque;18934.0;Desconhecido;2018;PI
0000.00.0178;PARQUE NACIONAL DO SUPERAGUI;Parque;33860.0;Desconhecido;2018;PI
0000.00.0180;PARQUE NACIONAL DOS LENÇOIS MARANHENSES;Parque;156606.0;Desconhecido;2018;PI
0000.00.0182;PARQUE NACIONAL DO MONTE PASCOAL;Parque;22240.0;Desconhecido;2018;PI
0000.00.0185;PARQUE NACIONAL MARINHO DOS ABROLHOS;Parque;87942.0;Desconhecido;2018;PI
0000.00.0186;PARQUE NACIONAL MAR. DE FERNANDO DE NORONHA;Parque;10929.0;Desconhecido;2018;PI
0000.00.0187;PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE;Parque;3834912.0;Desconhecido;2018;PI
0000.00.0195;RESERVA BIOLÓGICA DE COMBOIOS;Reserva Biológica;785.0;Desconhecido;2018;PI
0000.00.0196;RESERVA BIOLÓGICA GUARIBAS;Reserva Biológica;4052.0;Desconhecido;2018;PI
0000.00.0198;RESERVA BIOLÓGICA DE SALTINHO;Reserva Biológica;563.0;Desconhecido;2018;PI
0000.00.0199;RESERVA BIOLÓGICA DE SANTA ISABEL;Reserva Biológica;4110.0;Desconhecido;2018;PI
0000.00.0201;RESERVA BIOLÓGICA DE SOORETAMA;Reserva Biológica;27859.0;Desconhecido;2018;PI
0000.00.0202;RESERVA BIOLÓGICA DE UNA;Reserva Biológica;18725.0;Desconhecido;2018;PI
0000.00.0203;RESERVA BIOLÓGICA ATOL DAS ROCAS;Reserva Biológica;35186.0;Desconhecido;2018;PI
0000.00.0205;RESERVA BIOLÓGICA DO CÓRREGO GRANDE;Reserva Biológica;1504.0;Desconhecido;2018;PI
0000.00.0209;RESERVA BIOLÓGICA DO LAGO PIRATUBA;Reserva Biológica;392469.0;Desconhecido;2018;PI
0000.00.0212;RESERVA BIOLÓGICA DO TINGUÁ;Reserva Biológica;24813.0;Desconhecido;2018;PI
0000.00.0214;RESERVA BIOLÓGICA MARINHA DO ARVOREDO;Reserva Biológica;17104.0;Desconhecido;2018;PI
0000.00.0217;RESERVA BIOLÓGICA UNIÃO;Reserva Biológica;7757.0;Desconhecido;2018;PI
0000.00.0218;RESERVA DE DESENVOLVIMENTO SUSTENTáVEL ITATUPã-BAQUIá;Reserva de Desenvolvimento Sustentável;64441.0;Desconhecido;2018;US
0000.00.0223;RESERVA EXTRATIVISTA CHOCOARÉ-MATO GROSSO;Reserva Extrativista;2783.0;Desconhecido;2018;US
