categoria_manejo;n;delta_pct_mediana;delta_pct_media;area_inicial_mediana;area_final_mediana
Reserva de Desenvolvimento Sustentável;13;-2.6601933924240645e-05;8.421651549567123e-06;1900.0;1899.942332
Floresta;9;0.0;-0.0003737539552064023;535.0;535.0
Reserva Particular do Patrimônio Natural;239;0.0;-0.0007376121608560119;69.0;67.45069066
Parque;156;0.0;0.04011420256690456;724.0;723.9763269
Área de Relevante Interesse Ecológico;40;0.0;3.368600959241564e-05;159.57676145;159.3276049
Refúgio de Vida Silvestre;45;0.0;-0.0005642186499116071;290.0;289.914257
Reserva Biológica;21;2.382376502046998e-06;0.0006464554154285764;4110.0;4110.530586
Área de Proteção Ambiental;181;3.3132470611831864e-06;0.011180251632778127;3270.0;3248.105632
Reserva Extrativista;35;6.783425599739166e-06;-2.673348043741107e-05;27864.5;27864.48821
Estação Ecológica;20;1.635855203784845e-05;-0.002663312414100936;2482.0;2482.2503795000002
Monumento Natural;18;8.165851861962784e-05;-0.006075863200089132;165.5;165.6555224
