codigo_uc;nome_uc;categoria_manejo;grupo;ano_inicial;ano_final;area_inicial;area_final;delta_area;delta_pct;slope_ha_ano;slope_pct_ano;n_anos;span_anos;coverage_ratio;max_abs_yoy_pct;median_abs_yoy_pct;coorte;serie_tipo;qc_area_suspeita;qc_salto_excessivo;qc_yoy_excessivo;qc_cobertura_baixa;qc_pass;tendencia
947;PARQUE ESTADUAL MARINHO DA PEDRA DA RISCA DO MEIO;Parque;PI;2019;2024;3716.0;14628.801921999999;10912.801921999999;2.9367066528525294;3087.1586157714287;0.40980340798025366;6;6;1.0;4.103301696996137;5.55206508135877e-05;nova;longa;False;False;False;False;True;aumentou
1763;PARQUE NATURAL MUNICIPAL DA CATACUMBA;Parque;PI;2019;2024;26.5;97.65895246;71.15895246;2.6852434890566035;18.26490341942857;0.2935552221639512;6;6;1.0;2.6296296296296298;0.037037037037037035;nova;longa;False;False;False;False;True;aumentou
1820;ÁREA DE PROTEÇÃO AMBIENTAL DO SACOPÃ;Área de Proteção Ambiental;US;2019;2024;104.0;248.5392548;144.5392548;1.389800526923077;37.18040109714286;0.21083729095602943;6;6;1.0;1.3942307692307692;0.0;nova;longa;False;False;False;False;True;aumentou
1976;ÁREA DE PROTEÇÃO AMBIENTAL MORRO DE OSÓRIO;Área de Proteção Ambiental;US;2020;2024;3448.5;6897.0;3448.5;1.0;1379.4;0.25;5;5;1.0;0.0;0.0;nova;longa;False;False;False;False;True;aumentou
3687;RPPN DAS DUNAS DOURADAS;Reserva Particular do Patrimônio Natural;US;2019;2024;90.0;166.1834619;76.1834619;0.84648291;17.41336272;0.15090289950098854;6;6;1.0;0.84648291;0.0;nova;longa;False;False;False;False;True;aumentou
966;PARQUE ESTADUAL DE DOIS IRMÃOS;Parque;PI;2019;2024;751.5;1115.9959045;364.49590450000005;0.4850244903526281;104.14237448571429;0.10471846902350687;6;6;1.0;1.8837209302325582;1.0780465949801998e-05;nova;longa;False;False;False;False;True;aumentou
2049;PARQUE NATURAL MUNICIPAL CARIJÓS;Parque;PI;2019;2024;40.0;51.5333056;11.533305599999998;0.28833264;2.636184137142857;0.0601258546293888;6;6;1.0;0.28833264;0.0;nova;longa;False;False;False;False;True;aumentou
1769;PARQUE NATURAL MUNICIPAL DA SERRA DO MENDANHA;Parque;PI;2019;2024;1222.0;1390.617848;168.6178480000001;0.13798514566284786;48.198365257142875;0.03611610829531616;6;6;1.0;0.32098765432098764;0.0;nova;longa;False;False;False;False;True;aumentou
4295;ÁREA DE PROTEÇÃO AMBIENTAL DO SERTÃO CARIOCA;Área de Proteção Ambiental;US;2022;2024;3047.552816;3248.105632;200.5528159999999;0.06580782290205923;200.55281599999986;0.0643952524458297;3;3;1.0;0.14088712047769575;0.07044356023884787;nova;curta;False;False;False;False;True;aumentou
1778;PARQUE NATURAL MUNICIPAL FAZENDA DO VIEGAS;Parque;PI;2019;2024;8.0;8.49131656;0.49131655999999957;0.061414569999999946;0.1123009279999999;0.013756009529934377;6;6;1.0;0.061414569999999946;0.0;nova;longa;False;False;False;False;True;aumentou
3433;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL COTINGA-CREJOÁ;Reserva Particular do Patrimônio Natural;US;2019;2024;9.0;9.384834283;0.384834283;0.04275936477777778;0.08796212182857142;0.009636222836284609;6;6;1.0;0.04275936477777778;0.0;nova;longa;False;False;False;False;True;aumentou
1384;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MERCÊS SABIAQUABA E NAZÁRIO;Reserva Particular do Patrimônio Natural;US;2019;2024;50.0;52.05141105;2.0514110499999987;0.041028220999999976;0.468893954285714;0.00925135684794516;6;6;1.0;0.041028220999999976;0.0;nova;longa;False;False;False;False;True;aumentou
3403;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA BOA VISTA I;Reserva Particular do Patrimônio Natural;US;2019;2024;7.0;7.2555169;0.25551689999999994;0.036502414285714276;0.058403862857142844;0.008243111160069153;6;6;1.0;0.036502414285714276;0.0;nova;longa;False;False;False;False;True;aumentou
1805;PARQUE NATURAL MUNICIPAL JOSÉ GUILHERME MERQUIOR;Parque;PI;2019;2024;8.0;8.286209348;0.28620934799999986;0.03577616849999998;0.06541927954285712;0.008081040388657172;6;6;1.0;0.03577616849999998;0.0;nova;longa;False;False;False;False;True;aumentou
2137;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DO PROFESSOR BAPTISTA;Reserva Particular do Patrimônio Natural;US;2019;2024;9.0;9.296494885;0.29649488499999954;0.03294387611111106;0.06777025942857132;0.007448237553658858;6;6;1.0;0.03294387611111106;0.0;nova;longa;False;False;False;False;True;aumentou
2087;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CURIÓ;Reserva Particular do Patrimônio Natural;US;2019;2024;13.0;13.40357206;0.4035720600000001;0.031044004615384625;0.0922450422857143;0.007023097460193635;6;6;1.0;0.031044004615384625;0.0;nova;longa;False;False;False;False;True;aumentou
1822;APA DO VÁRZEA COUNTRY CLUB;Área de Proteção Ambiental;US;2019;2024;10.0;10.30017363;0.30017362999999975;0.030017362999999974;0.06861111542857137;0.00679314081824006;6;6;1.0;0.030017362999999974;0.0;nova;longa;False;False;False;False;True;aumentou
3683;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO (SC);Reserva Particular do Patrimônio Natural;US;2019;2024;74.0;76.18898278;2.1889827800000035;0.029580848378378426;0.5003389211428579;0.006695319033145995;6;6;1.0;0.029580848378378426;0.0;nova;longa;False;False;False;False;True;aumentou
1433;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MÃE DA MATA;Reserva Particular do Patrimônio Natural;US;2019;2024;13.0;13.36743447;0.3674344699999992;0.028264189999999936;0.08398502171428553;0.006400088513130293;6;6;1.0;0.028264189999999936;0.0;nova;longa;False;False;False;False;True;aumentou
2031;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LEMBRANÇA;Reserva Particular do Patrimônio Natural;US;2019;2024;19.0;19.46734602;0.4673460200000008;0.024597158947368462;0.10682194742857161;0.005576485856405916;6;6;1.0;0.024597158947368462;0.0;nova;longa;False;False;False;False;True;aumentou
3673;RPPN JARDIM DOS BEIJA-FLORES;Reserva Particular do Patrimônio Natural;US;2019;2024;6.0;6.14020037;0.14020036999999963;0.02336672833333327;0.032045798857142774;0.005299687688699347;6;6;1.0;0.02336672833333327;0.0;nova;longa;False;False;False;False;True;aumentou
1791;APA DA PAISAGEM E DO AREAL DA PRAIA DO PONTAL;Área de Proteção Ambiental;US;2019;2024;24.0;24.44852194;0.4485219399999991;0.01868841416666663;0.10251930057142837;0.004245192220332619;6;6;1.0;0.01868841416666663;0.0;nova;longa;False;False;False;False;True;aumentou
