codigo_uc;nome_uc;categoria_manejo;grupo;ano_inicial;ano_final;area_inicial;area_final;delta_area;delta_pct;slope_ha_ano;slope_pct_ano;n_anos;span_anos;coverage_ratio;max_abs_yoy_pct;median_abs_yoy_pct;coorte;serie_tipo;qc_area_suspeita;qc_salto_excessivo;qc_yoy_excessivo;qc_cobertura_baixa;qc_pass;tendencia
1125;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FARROUPILHA;Reserva Particular do Patrimônio Natural;US;2019;2024;10.0;7.0866416480000005;-2.9133583519999995;-0.29133583519999995;-0.8122563946857142;-0.08996202688113854;6;6;1.0;0.5309150962955899;0.0;nova;longa;False;False;False;False;True;reduziu
951;ÁREA DE PROTEÇÃO AMBIENTAL DO ESTUÁRIO DO RIO CEARÁ - RIO MARANGUAPINHO;Área de Proteção Ambiental;US;2019;2024;3447.0;2737.094125;-709.9058749999999;-0.20594890484479256;-182.54991428571427;-0.0590388298649506;6;6;1.0;0.2059762111981433;0.0;nova;longa;False;False;False;False;True;reduziu
1790;PARQUE NATURAL MUNICIPAL CHICO MENDES;Parque;PI;2019;2024;47.5;40.65477827;-6.845221729999999;-0.14410993115789472;-1.9360506811428568;-0.0449704774475052;6;6;1.0;0.24074074074074073;0.0;nova;longa;False;False;False;False;True;reduziu
34;MONUMENTO NATURAL DAS ILHAS CAGARRAS;Monumento Natural;PI;2019;2024;106.0;91.19849516;-14.801504840000007;-0.13963683811320762;-3.383201106285716;-0.035217405674593694;6;6;1.0;0.14150943396226415;0.0;nova;longa;False;False;False;False;True;reduziu
17;ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA;Área de Proteção Ambiental;US;2019;2024;282441.0;245640.9079;-36800.09210000001;-0.13029302438385365;-8411.449622857144;-0.031133418466791535;6;6;1.0;0.13029302438385365;0.0;nova;longa;False;False;False;False;True;reduziu
2197;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DO BRASIL II;Reserva Particular do Patrimônio Natural;US;2019;2024;401.0;355.15184254999997;-45.84815745000003;-0.11433455723192028;-13.074794974285716;-0.033897353381401436;6;6;1.0;0.22675934223511146;0.0;nova;longa;False;False;False;False;True;reduziu
3027;PARQUE NATURAL MUNICIPAL DA MATA ATLÂNTICA ALDEENSE;Parque;PI;2019;2024;268.0;244.71150340000003;-23.288496599999974;-0.08689737537313423;-6.661482211428569;-0.02559773558767023;6;6;1.0;0.17470369177806408;0.0;nova;longa;False;False;False;False;True;reduziu
3231;PARQUE NATURAL MUNICIPAL DA CAIXA D´ÁGUA;Parque;PI;2019;2024;18.0;16.63987917;-1.3601208299999996;-0.07556226833333331;-0.31088476114285707;-0.01771763723880469;6;6;1.0;0.07556226833333331;0.0;nova;longa;False;False;False;False;True;reduziu
10;ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS;Área de Proteção Ambiental;US;2019;2024;68224.0;63457.72047;-4766.27953;-0.06986221168503752;-1361.8103531428571;-0.02043678915152243;6;6;1.0;0.1397321543993648;0.0;nova;longa;False;False;False;False;True;reduziu
2275;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GOTAS AZUIS;Reserva Particular do Patrimônio Natural;US;2019;2024;7.0;6.552654954;-0.4473450459999997;-0.0639064351428571;-0.10225029622857135;-0.01492512229550244;6;6;1.0;0.0639064351428571;0.0;nova;longa;False;False;False;False;True;reduziu
